NAME,XCOORDS,YCOORDS,ZCOORDS,N_GAUGE,H_GAUGE,F_GAUGE,D_GAUGE,B_GAUGE,K_GAUGE,300_GAUGE,PRD_GAUGE,STAGE
199-H4-11,578141.906,152728.433,128.24,7865.718795985075,968.3833742299229,5381.420955084731,5454.106961921841,15270.553978145283,10950.41052792102,40441.98217148024,30623.527202409063,H_GAUGE
199-H4-12A,578009.151,152912.729,127.216,7824.811100725682,741.4499894463139,5608.010152194993,5360.943077437146,15246.866556074583,10933.983809002117,40664.36248112397,30548.11709892093,H_GAUGE
199-H4-12B,578004.385,152918.467,127.223,7823.072449901299,733.992483030975,5615.399931641014,5357.55382063063,15245.636118133321,10933.012611065333,40671.54503352822,30545.18697268258,H_GAUGE
199-H4-12C,578011.772,152919.812,127.226,7830.292413609121,737.5672135879977,5612.643018142877,5365.055665393205,15252.695853490324,10939.978011970015,40669.76198631274,30552.650515397418,H_GAUGE
199-H4-13,578219.304,152595.273,128.65,7882.215150974853,1121.2054406686534,5227.459778279004,5507.95780004756,15273.509110129664,10949.183544687901,40288.85911597577,30661.130543761938,H_GAUGE
199-H4-15A,577904.313,153053.42,125.302,7794.792616941337,566.1085309593404,5782.868329319736,5291.895358372881,15228.040057789092,10921.680511180864,40835.58911288499,30488.21990011823,H_GAUGE
199-H4-15B,577899.598,153059.548,125.212,7793.440465185617,558.3791989570966,5790.564198601723,5288.855764989981,15227.137912474196,10921.083961615142,40843.108678183504,30485.489055631053,H_GAUGE
199-H4-15CQ,577907.681,153059.983,125.319,7800.809894760183,563.1759570595666,5786.649276658306,5296.791432349361,15234.298204934634,10928.088552749248,40840.20391499106,30493.34950547569,H_GAUGE
199-H4-15CR,577907.681,153059.983,125.349,7800.809894760183,563.1759570595666,5786.649276658306,5296.791432349361,15234.298204934634,10928.088552749248,40840.20391499106,30493.34950547569,H_GAUGE
199-H4-15CS,577907.681,153059.983,125.37,7800.809894760183,563.1759570595666,5786.649276658306,5296.791432349361,15234.298204934634,10928.088552749248,40840.20391499106,30493.34950547569,H_GAUGE
199-H4-16,577981.91,152591.573,130.491,7663.515741079289,1000.5841341881245,5353.1778234399,5272.983238716874,15064.06458503371,10742.81949437991,40382.51228559744,30431.862944959033,H_GAUGE
199-H4-17,577779.175,153037.635,128.922,7676.61127082525,510.8541731903547,5836.980377099935,5166.7841302545485,15112.607237877528,10808.399723754223,40872.48258613427,30363.899717655015,H_GAUGE
199-H4-18,578018.292,152756.478,129.754,7765.3475800896895,874.0751054617583,5471.019680828049,5337.87125557632,15176.800663479156,10859.29165007588,40517.99671896116,30512.680881502234,H_GAUGE
199-H4-4,578060.859,152853.956,127.293,7845.611839309944,819.6446765282003,5530.8071535117415,5398.958143284438,15262.179570922612,10946.676025672701,40589.62186236545,30580.991021444952,H_GAUGE
199-H4-45,578156.386,152433.394,128.011,7761.03112823685,1222.0331761290424,5124.835498961073,5422.701769257863,15140.840656305001,10813.8796682695,40166.690955918064,30556.595050375123,H_GAUGE
199-H4-46,577883.861,152439.868,130.31,7512.637530103789,1105.4891002560971,5284.700669796217,5153.419569732809,14904.703236640125,10581.165479441519,40284.82909849244,30296.005373560853,H_GAUGE
199-H4-47,577891.179,152553.297,130.531,7565.066044358937,1000.5232623992325,5372.966006429763,5177.306349182921,14966.194304194332,10645.304652407529,40385.050024981385,30334.096308545333,H_GAUGE
199-H4-49,577713.83,152445.154,130.513,7359.0368436851895,1060.9153572759542,5390.020452580513,4985.771150253025,14758.620064532863,10437.591525161097,40360.42683600631,30133.869840645464,H_GAUGE
199-H4-5,577944.937,152939.783,128.058,7779.324057585274,681.1202122518525,5665.044371001666,5304.368914019659,15205.083171145488,10894.225000513712,40715.27250230627,30494.322354983047,H_GAUGE
199-H4-6,577585.316,152888.391,129.069,7435.636596076054,605.7440593196102,5823.168501037641,4942.552855909252,14869.571746129803,10564.408918449546,40816.8559012418,30135.111368306247,H_GAUGE
199-H4-8,577860.691,152921.704,129.206,7695.928476695676,651.4540630811816,5695.344089726005,5218.217655711255,15123.302288859457,10813.507285246365,40733.29481369138,30408.43038665177,H_GAUGE
199-H5-1A,577650.08,152257.724,129.078,7226.137646708368,1239.4807563750348,5281.774520347878,4899.277691155641,14612.103213828994,10287.42312316717,40217.04430783765,30021.695914075506,H_GAUGE
199-H6-1,578236.557,152247.63,128.457,7766.468914968758,1423.2291707820607,4925.693271659207,5481.856646497524,15124.505632748556,10793.539860213099,39964.3852680502,30584.387363881648,H_GAUGE
199-K-11,568938.002,146617.756,143.224,3502.4796618649016,11017.827354494404,12130.748806757141,6400.786000661202,4330.021442558004,499.95979538357506,40109.557701469865,20351.798809881064,K_GAUGE
199-K-13,569037.727,146682.13,142.949,3392.178519611887,10899.737065509718,12023.796553458036,6289.587053935217,4445.1278055958,489.7532050828795,40095.45094029286,20458.53782703426,K_GAUGE
199-K-18,569353.687,147400.811,125.984,2627.1074080549233,10210.458250570064,11641.976007417665,5526.634099884853,5010.260634382465,674.435522826307,40454.07930767536,20870.359411039586,K_GAUGE
199-K-19,569458.517,147386.64,129.687,2574.56005899961,10135.057384464364,11538.295881221304,5473.553358988026,5099.086101240233,762.8496834560216,40377.68118268916,20971.793774129223,K_GAUGE
199-K-20,569520.516,147687.239,129.639,2299.578927879246,9906.536437154336,11460.33964051492,5198.657297789258,5287.510297417946,971.9991794527751,40575.07495060705,21080.746406809052,K_GAUGE
199-K-21,569769.902,147932.06,129.561,1952.2528352754648,9561.130538898664,11203.70665755862,4851.761424514211,5622.761988592115,1320.0013904022728,40615.009691802414,21368.15726723651,K_GAUGE
199-K-22,570023.697,148097.376,130.408,1667.3751759373222,9258.536440769085,10947.904132964602,4565.7130516826155,5924.764574691366,1621.1132564521847,40591.92052666617,21647.262696222173,K_GAUGE
199-K-31,568177.564,146591.114,126.731,4014.540528389907,11637.520063722362,12888.64423748871,6903.814659242534,3607.004415725094,761.7577237626286,40579.81560494196,19593.693306648427,K_GAUGE
199-K-32A,569024.15,147006.68,136.396,3140.7223185059015,10710.740097690561,12001.99283039274,6040.194182317327,4548.092870049651,277.07000018045284,40354.70718001679,20487.036194820717,K_GAUGE
199-K-32B,569012.4,147004.81,136.777,3149.541310359504,10721.224432727651,12013.867615693072,6048.967595953878,4536.538583258879,266.3619552413513,40360.70460331557,20475.140766963195,K_GAUGE
199-K-34,568605.78,146501.94,143.733,3796.2384137460367,11350.30293031231,12475.157559586114,6695.647087055886,3978.2190777452774,601.917436614025,40234.31305704123,20008.303729273262,K_GAUGE
199-K-36,569373.69,146390.47,151.381,3465.9164716682517,10828.533197192388,11730.636213287862,6339.781802633317,4684.324631109144,927.4739183933366,39656.659653039394,20759.220387946338,K_GAUGE
199-K-37,570216.203,148226.542,135.68,1452.9530281974444,9026.827716699043,10755.532570729021,4347.2153189384735,6155.722469604448,1852.2203980932763,40578.92238698526,21860.08415007032,N_GAUGE
699-101-48B,575283.678,154404.019,119.934,6551.227161789562,2440.3087806696426,8452.912201883164,3658.104599724378,13898.586451970748,9806.192093860083,43178.1870498293,28447.106560401393,H_GAUGE
699-73-61,571420.823,145781.525,163.014,3700.885715215891,9849.001434960344,9840.17684484552,6109.652332838116,6610.57501603258,2964.2649471991717,37903.8686293491,22745.420914972117,K_GAUGE
699-78-62,570877.303,147166.224,144.195,2293.5843229670236,9193.45416239154,10142.086196320031,4951.699602567324,6343.826712911132,2120.7278918156085,39334.23467365275,22344.7682591003,K_GAUGE
699-88-41,577221.545,150333.764,127.822,6294.1647680603455,3175.9670704982223,4338.959645818395,4659.898298890351,13394.695381626223,9065.772272367156,38671.08128041831,29144.23329294809,H_GAUGE
699-89-35,579121.737,150543.514,122.35,8205.247222078744,3343.2475687829087,3024.206807446383,6454.902976888519,15241.143199720189,10925.668659474512,38047.42749857559,31046.60459234437,F_GAUGE
699-90-34,579410.129,150782.646,120.612,8525.08161090079,3288.6194792071474,3059.9929609195397,6700.251614669117,15595.196671430112,11275.75170663914,38150.394965975895,31378.27583744166,F_GAUGE
699-90-38,578230.179,150939.918,128.54,7391.706051908966,2642.7256826551175,3910.621826825614,5509.94842528719,14559.108530450418,10226.6964197919,38777.5077610303,30260.270620719628,H_GAUGE
699-90-45,576169.25,151024.529,129.511,5412.449609871829,2827.156730432376,5596.312690170273,3465.1886872753166,12726.436934516192,8393.453019225197,39765.81259620306,28275.193545833452,H_GAUGE
699-90-37B,578474.693,151031.322,129.91,7649.692933100456,2630.4476112184734,3811.8736388779957,5740.014791598748,14819.896020791542,10487.6303764612,38758.11705908754,30519.023536018365,H_GAUGE
699-91-46A,575910.95,151156.642,128.13,5207.368135029846,2852.5059044104246,5885.8293345563625,3186.11964861704,12558.564348093283,8230.843297364056,40002.88602731889,28057.081693370896,H_GAUGE
699-92-49,575063.136,151647.471,132.662,4625.85140505682,3094.8470269854956,6865.420586437221,2286.5462926993528,12070.539193070985,7783.039782463997,40836.074829546655,27366.098223207482,D_GAUGE
699-93-48A,575094.127,151795.301,134.446,4724.559263382838,2983.4992622077657,6915.517483451982,2316.4249851548816,12175.73999753618,7895.47207896332,40951.214564561225,27436.48940641536,D_GAUGE
699-96-43,576761.453,152605.307,129.592,6575.3727349962755,1185.6869396135303,6129.0660248277645,4076.293610192677,14018.577576543861,9722.899219939347,40911.85295094148,29264.63205570049,H_GAUGE
699-97-51A,574468.122,153122.092,123.637,5053.546090711413,3101.6697640497437,8185.700249247348,2183.9535925444566,12447.577714097639,8310.186644017533,42416.11019095633,27240.91176288666,D_GAUGE
699-98-49A,574823.368,153310.153,123.485,5436.033327949507,2730.298522578276,8025.984713021352,2579.1812412843224,12841.87472684942,8691.870699030946,42415.0736735047,27638.2319631644,D_GAUGE
199-H4-2,578093.552,152501.475,129.425,7729.598992358267,1131.885010725465,5216.2623381065505,5369.642743640309,15118.147857260248,10793.325275108173,40254.529076295614,30514.547776130177,H_GAUGE
199-H4-15C,577907.681,153059.983,125.215,7800.809894760183,563.1759570595666,5786.649276658306,5296.791432349361,15234.298204934634,10928.088552749248,40840.20391499106,30493.34950547569,H_GAUGE
199-K-25,569140.418,147238.148,145.229,2887.907360749889,10478.660383834842,11866.213261780213,5786.842067793858,4748.036401207113,412.0749603748453,40460.85386860527,20635.04786747998,K_GAUGE
699-81-62,570943.029,148103.091,135.305,1354.7800725154834,8524.68241445668,10028.555246477024,4072.388618420678,6747.290904048091,2410.744600832229,40046.909134927286,22553.149733187547,N_GAUGE
699-93-50,574620.3,151789.1,134.0,4315.844923275294,3387.013328337511,7319.386793201952,1842.5965498719697,11775.705864715614,7516.668071832108,41173.44258742519,26979.766441832144,D_GAUGE
199-H4-15CP,577907.681,153059.983,125.259,7800.809894760183,563.1759570595666,5786.649276658306,5296.791432349361,15234.298204934634,10928.088552749248,40840.20391499106,30493.34950547569,H_GAUGE
199-K-110A,569230.007,146677.91,143.669,3288.921884793887,10752.962716768152,11833.504539352183,6180.619448190389,4626.147631911586,622.6971872499109,39969.9404746886,20648.900389862527,K_GAUGE
199-K-111A,569308.169,146968.875,141.858,3002.590928926074,10509.56076009853,11723.050591199606,5898.411098133651,4797.391970530891,561.9797956385603,40146.01902732308,20763.32913631004,K_GAUGE
199-K-107A,568579.94,146468.81,143.566,3838.2484554522334,11391.070045843708,12505.184699291756,6737.660328964404,3943.286336054718,640.7251844590115,40225.723765268696,19978.842365051558,K_GAUGE
199-K-108A,568687.2,146396.14,143.748,3829.6894215538287,11352.110916188996,12408.975891075797,6728.899369882154,4023.9237753585676,691.759129827711,40100.95307171144,20077.322727070943,K_GAUGE
199-H5-2,577631.0,152262.0,,7210.215078509142,1233.7820899721344,5297.111448940817,4880.7624233924535,14597.424858169228,10273.090320254145,40228.96092369277,30004.46588001275,H_GAUGE
199-H5-3P,577634.0,152263.0,128.0,7213.367791285883,1232.9911165681638,5295.996503256009,4883.852429547782,14600.536099537472,10276.185443446388,40228.60341846334,30007.624264750608,H_GAUGE
199-H5-4P,577637.0,152263.0,128.0,7216.131616479884,1233.2051141379552,5294.106453642567,4886.835085574279,14603.166563382645,10278.776741816091,40227.33926075648,30010.513878493475,H_GAUGE
199-H5-5P,577640.0,152263.0,128.0,7218.895630244323,1233.4263713477214,5292.217429631919,4889.8177628210005,14605.797169682211,10281.368262449285,40226.075287057276,30013.40351389774,H_GAUGE
199-H5-5O,577640.0,152261.0,128.0,7218.1184889388305,1235.4207532399669,5290.663584324738,4889.603615181886,14604.835901916082,10280.361002810136,40224.26144753934,30012.866114759006,H_GAUGE
199-H5-4O,577637.0,152261.0,128.0,7215.354177471857,1235.1998532771963,5292.553162935625,4886.620807224535,14602.205122442874,10277.769228198278,40225.52547823334,30009.976427609025,H_GAUGE
199-H5-3O,577634.0,152261.0,128.0,7212.590054367473,1234.986201354496,5294.443767054277,4883.6380203286735,14599.574485371035,10275.17767574359,40226.7896929397,30007.08676211087,H_GAUGE
199-H5-6,577643.0,152260.0,127.9,7220.494743046392,1236.6459111386762,5287.997944638394,4892.479738700997,14606.986355367657,10282.449605424741,40222.090659238485,30015.48719622004,H_GAUGE
199-H5-7,577645.0,152259.0,127.8,7221.94991746416,1237.7987968712873,5285.962098095282,4894.361886252362,14608.260081950106,10283.674574202521,40220.34122182456,30017.145118829165,H_GAUGE
199-H5-9,577643.0,152264.0,128.0,7222.048430629678,1232.6578850338024,5291.106744576212,4892.907772848347,14608.908544648259,10284.46361693693,40225.7184522539,30016.561891023583,H_GAUGE
199-H5-10,577644.0,152266.0,128.0,7223.747273566579,1230.7418728295575,5292.032766574663,4894.1171740774425,14610.746816432653,10286.3348948058,40227.11118139109,30018.06262184236,H_GAUGE
199-H5-8,577647.0,152258.0,127.8,7223.405490927432,1238.9546454717406,5283.926413425898,4896.244331485079,14609.534039725459,10284.8998832317,40218.59183263382,30018.803116434363,H_GAUGE
199-H5-11,577646.0,152268.0,128.1,7226.367645529847,1228.9066577799986,5292.331157675215,4896.321430788605,14613.462034367383,10289.070119699809,40228.082852654064,30020.526629718697,H_GAUGE
199-H5-12,577650.0,152279.0,128.2,7234.336479619992,1218.2722280081764,5298.384395502074,4901.498921105642,14622.259988178876,10298.070020547511,40236.37624090917,30027.33805166301,H_GAUGE
199-H5-13,577650.0,152288.0,128.2,7237.851856756988,1209.3043510779269,5305.399412155496,4902.499643406389,14626.593271910479,10302.612903923908,40244.54022597351,30029.76155023628,H_GAUGE
199-H5-14,577656.0,152286.0,128.3,7242.5928456845195,1211.8194409795567,5300.084633522363,4908.2383513435625,14630.888560504345,10306.782219883149,40240.20111778767,30035.001068287802,H_GAUGE
199-H5-15,577657.0,152288.0,,7244.294739059184,1209.9175399736982,5301.019839851562,4909.455586274284,14632.727966373766,10308.65497570364,40241.59476213635,30036.50277551049,H_GAUGE
199-D8-68,573711.67,152427.1,135.116,4029.3047536418826,3981.199275298332,8425.56047628875,1159.8471832530524,11422.18857870756,7285.829221344688,42174.827181849825,26301.69358551999,D_GAUGE
199-D8-69,573843.61,152552.201,131.513,4210.698790562171,3821.533385295147,8377.189893972853,1340.4772691921778,11603.457288803946,7467.2812884543555,42218.591303766894,26466.265470348444,D_GAUGE
199-D8-70,573942.097,152508.741,132.94,4246.7497598559485,3737.3651671297275,8270.570718946212,1395.5480423152194,11652.957559835266,7503.219670851257,42132.398209008854,26546.095928504532,D_GAUGE
199-D8-71,573837.097,152429.388,134.656,4116.75659043616,3859.8658198017247,8318.907635880652,1264.2185240348488,11521.39037776799,7373.337188072456,42114.87643942406,26421.564599187717,D_GAUGE
199-H4-63,578185.825,152665.531,128.51,7879.859867192805,1045.0071156934396,5304.825103626516,5486.323254503441,15278.186915560416,10955.891791779633,40366.659119508346,30648.270819179495,H_GAUGE
199-H4-64,577946.11,153010.582,126.206,7812.320837879377,625.7337459143222,5724.397707399788,5321.989469386763,15242.05675650896,10933.427467026208,40779.4187781879,30515.81784329527,H_GAUGE
199-H3-3,577562.091,152363.166,128.432,7187.091295228952,1129.8837000775866,5419.090749570149,4824.311573536364,14586.165861205687,10265.28885067618,40349.750875437094,29965.50807025273,H_GAUGE
199-H3-4,577544.287,152293.21,126.754,7142.746978665539,1199.750410095797,5376.227150892039,4798.067178528128,14536.569487482322,10214.17113336802,40293.86486159485,29929.379830089933,H_GAUGE
199-H3-5,577454.697,152287.496,126.508,7058.318342917967,1209.0300386049055,5429.421922527727,4708.419705521716,14455.504006659858,10134.274751006376,40326.66681343531,29841.589879016654,H_GAUGE
199-K-112A,570278.602,148503.439,126.773,1189.0132461676324,8816.617239119214,10698.675969991116,4088.303011128856,6348.078686646612,2079.865691116809,40763.41775949519,21973.995310098315,N_GAUGE
199-K-113A,570098.07,148294.453,126.461,1464.590408110792,9083.998938898567,10874.346775832078,4364.082419600867,6086.4431777372965,1805.5331925248,40704.205170081776,21756.671852004536,N_GAUGE
199-K-114A,570020.302,148280.55,126.542,1523.8519057116569,9155.78987403492,10951.934720967014,4423.13325932015,6012.249288399189,1739.004346792714,40739.94846370945,21677.677096879303,N_GAUGE
199-K-115A,569939.988,148135.417,126.839,1687.218964016848,9304.733825812837,11031.492949785723,4586.7589232783075,5870.211426714834,1581.6666790044367,40672.88408679709,21571.840556786363,K_GAUGE
199-K-116A,569871.149,147960.495,130.25,1867.8372661313806,9462.299060027804,11101.954927816358,4767.072141265153,5725.322908430064,1416.5273785373388,40575.77096136593,21472.81809108447,K_GAUGE
199-K-117A,569702.56,147976.977,128.014,1960.8671388877697,9590.085272240316,11270.252999484399,4858.950051808386,5585.5732714239775,1299.5587160759871,40691.72261158437,21309.77559075558,K_GAUGE
199-K-118A,569703.057,147865.898,130.327,2045.6982766478684,9653.998926489134,11272.018092711336,4945.130545234684,5532.472666331535,1226.2968386622276,40603.5872663691,21290.84488520963,K_GAUGE
199-K-119A,569661.802,147649.688,132.891,2242.2039846510506,9814.715723059346,11320.771346874151,5141.1162222914245,5396.320173438615,1065.968571773099,40458.35847115582,21213.952807705024,K_GAUGE
199-K-120A,569399.615,147518.477,125.487,2506.70077942803,10103.617229837375,11589.126925110173,5405.9481867285895,5103.13400770647,774.6080328488454,40517.54940101579,20934.088321190215,K_GAUGE
199-K-121A,570017.165,147418.26,142.546,2258.49707503817,9675.14749929121,10978.781686645543,5127.218930143793,5623.010838469173,1302.5575880263482,40057.37150930929,21528.82003570163,K_GAUGE
199-K-122A,569975.068,147172.859,142.917,2499.0537456505735,9863.364450338137,11039.816054255842,5357.536763269604,5493.24034492257,1220.1297616830955,39889.79829791705,21451.786025308684,K_GAUGE
199-K-123A,569931.103,147090.244,143.368,2592.4089783674285,9950.117262118749,11091.204710370479,5450.947281035204,5423.397310395525,1172.9583152375578,39852.001414309736,21396.92120091567,K_GAUGE
199-K-124A,569867.938,146991.673,143.329,2708.2295399722166,10061.956446163642,11163.88683315059,5567.9965881574735,5330.898782793859,1113.6326639484178,39813.79327912344,21321.196079462054,K_GAUGE
199-D4-1,572752.848,151558.893,144.131,2744.0194249563747,5170.074570335843,8897.17679443163,181.35608595522288,10130.944634438274,5998.329950477285,41914.052787562236,25124.83712421558,D_GAUGE
199-D4-2,572768.371,151543.963,144.547,2742.647573125096,5161.301196850462,8877.122425753112,194.73542145692156,10133.794357038982,5997.568866373273,41893.22253036888,25135.311547085807,D_GAUGE
199-D4-3,572766.075,151546.12,144.481,2742.800804786175,5162.613481282697,8880.068610749882,192.71452468613882,10133.338114433009,5997.638413919625,41896.25969546717,25133.746395751034,D_GAUGE
199-D4-4,572754.612,151571.609,144.321,2754.9018162616494,5163.693746495209,8900.426673669368,168.51840108725415,10140.256117467494,6008.994872953747,41923.9890560694,25130.252109470664,D_GAUGE
199-D4-5,572740.543,151556.5,144.153,2734.287044796813,5182.381884611157,8907.629424876715,185.83679950162355,10119.83396870466,5988.354901071605,41918.4217701818,25112.371036972127,D_GAUGE
199-D4-6,572733.34,151577.919,144.023,2746.1853166969154,5181.10879555426,8922.490340963172,166.72550806942402,10127.591829865427,5999.593079031313,41940.45618836497,25111.771113421208,D_GAUGE
199-D4-7,572760.866,151551.254,144.247,2743.34529980113,5165.5062326049,8886.845184386351,188.00542479408804,10132.456235903364,5997.981331952603,41903.355433789184,25130.26692816739,D_GAUGE
199-D4-8,572763.298,151552.647,144.188,2745.9798372707855,5162.728980882674,8885.13151436451,186.40576507448495,10135.226632542202,6000.641811394205,41903.277891800004,25133.00010786357,D_GAUGE
199-D4-9,572758.204,151543.316,144.462,2735.567929404228,5170.960786014158,8886.271300016171,196.16639312584616,10125.43159626299,5990.293948905336,41897.96630498275,25125.399509834457,D_GAUGE
199-D4-10,572750.247,151540.441,144.256,2728.2317241276896,5179.414537674568,8892.529958627632,199.9904882988364,10117.41429696946,5982.841870219324,41899.65873626527,25116.949629976283,D_GAUGE
199-D4-11,572768.94,151554.139,144.293,2750.7665570167264,5156.939918157854,8880.491298736883,184.54362682304688,10140.570836709176,6005.51945136474,41901.61352593624,25138.831733893097,D_GAUGE
199-D4-12,572771.583,151562.084,144.419,2758.5356430830884,5151.507735239608,8881.09867956352,176.4877055916373,10147.585773248991,6013.19894136928,41907.020785292596,25143.68498906303,D_GAUGE
199-D4-13,572665.855,151424.474,143.831,2585.208960074943,5301.836118133945,8927.437170678986,333.5281490084739,9979.250409445445,5840.173335030433,41844.87826365015,25002.49027756204,D_GAUGE
199-D4-14,572839.812,151641.64,144.338,2863.3399868267575,5058.663247720686,8849.22079571773,114.63713946186515,10250.533300427704,6117.980603205942,41939.548008019156,25232.28598895103,D_GAUGE
199-D4-15,572936.636,151424.862,144.565,2768.8302905142205,5053.459061875526,8676.23142344409,351.240364679255,10193.425429269859,6024.99578565165,41703.99452819282,25261.944908547066,D_GAUGE
199-D3-2,572453.955,151165.653,143.789,2250.785357155307,5600.084589185673,9035.288355081659,658.2928720516842,9652.836487682249,5506.064940629866,41736.61880055014,24725.52662115304,D_GAUGE
199-D4-16,572756.742,151555.323,144.282,2743.793478716972,5167.800994571448,8892.212522750067,184.39334221441334,10131.764464871118,5998.262396898999,41908.976967409915,25127.51466060602,D_GAUGE
17-D,568480.003,146895.929,,3585.151749818273,11213.429113571736,12554.355842616882,6475.038961637989,4005.0832690732486,335.91087462301994,40616.67267309139,19932.873652998664,K_GAUGE
17-M,568480.003,146895.929,,3585.151749818273,11213.429113571736,12554.355842616882,6475.038961637989,4005.0832690732486,335.91087462301994,40616.67267309139,19932.873652998664,K_GAUGE
18-S,568712.6,147064.32,,3302.448857675351,10926.27684182023,12306.936262388777,6195.00826588636,4286.83968390423,49.72844759295039,40597.17583259212,20186.57940128303,K_GAUGE
19-D,569032.057,147394.816,82.779,2842.8134724128586,10473.81316345147,11963.333002692169,5736.040038826877,4719.308757468355,414.09033672013317,40650.81147794104,20551.666268223104,K_GAUGE
19-M,569031.891,147394.208,82.506,2843.368809926756,10474.302127526515,11963.537114363193,5736.608872574937,4718.883726936794,413.5246330328585,40650.442999469866,20551.407707666745,K_GAUGE
21-M,569603.828,148039.275,125.478,1981.9646944469443,9635.621245602488,11368.1906290926,4874.600402126244,5530.940024533723,1275.6281263945614,40801.411607409,21223.80439031217,K_GAUGE
22-D,569951.313,148359.468,126.818,1510.3086155313285,9168.171228858797,11022.129371891493,4405.663705090686,5993.484758970608,1746.3662356255127,40844.505765022965,21624.976762257204,N_GAUGE
22-M,569951.313,148359.468,126.818,1510.3086155313285,9168.171228858797,11022.129371891493,4405.663705090686,5993.484758970608,1746.3662356255127,40844.505765022965,21624.976762257204,N_GAUGE
23-M,570225.5,148592.7,,1153.1300530994038,8810.492530337704,10755.045581888504,4051.2934425440053,6349.2262922262,2104.4020713969894,40866.73878767427,21939.63272005731,N_GAUGE
35-S,572918.04,151930.04,117.63,3136.505294285512,4886.202684401865,8896.020481726595,237.08624928495144,10493.176610112749,6386.413887190535,42146.137668868294,25393.372490411493,D_GAUGE
