KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,n_cens,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
199-D4-13__ITER2,199-D4-13,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,20.0,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D4-14__ITER1,199-D4-14,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,21.0,0.26903994950783183,7.0,33.159806826366555,33.95559737196329,0.48334303421350033,33.716618834476606,31.705749503065576,33.78559762481748,34.11451410727497,32.10364477586395,34.18349289761585,-14.579903413183278,11.0,1.0,133.77999397079142,-0.9924019763861577,-0.0009803996722436753,0.17786406892489992,0.09042757445007203,0.4538835397195583,4,4,INTERP+EVENT,True
199-D4-14__ITER2,199-D4-14,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,21.0,2.2379667694916172e-05,162.0,464.2826236491792,470.5065992258923,1.0,481.79636027164054,470.2976425550921,483.69733905617306,484.9083480599971,473.40963034344867,486.8093268445296,-230.1413118245896,166.0,6.0,42.896086573000225,-0.32708676714040386,-0.00012988453492232112,-0.3267222141107047,5.529040398407475e-06,0.004031449383358646,4,4,INTERP+EVENT,True
199-D4-19__ITER1,199-D4-19,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,11.0,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D4-19__ITER2,199-D4-19,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,11.0,4.9875844695734806e-05,24.0,54.126832915688276,56.79124193603868,1.0,71.81045132471168,62.15527731676126,71.93878040897079,73.14265583488688,63.48748182693646,73.27098491914599,-25.063416457844138,28.0,14.0,-165.66148171693663,1.3371396205828423,0.0005640097113896168,-0.18846599210060858,5.211427357452696e-05,0.005371114757898656,4,4,INTERP+EVENT,True
199-D4-22__ITER1,199-D4-22,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,21.0,0.09247757604656881,5.0,23.719268106835294,24.113717261507734,1.0,25.710175866685685,24.026325309463996,26.480846276776656,25.907400444021903,24.223549886800214,26.678070854112875,-9.859634053417647,9.0,0.0,51.77228417984663,-0.33692815895587663,-0.00037613805398359357,-1.6739725350010868,0.025022878001539007,0.10488461775492927,4,4,INTERP+EVENT,True
199-D4-22__ITER2,199-D4-22,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,21.0,7.452407857488907e-08,24.0,49.617976698579085,52.28238571892949,0.6540932137879246,48.76896588067213,72.20024194006957,80.44226382267716,50.10117039084733,73.53244645024478,81.77446833285236,-22.808988349289542,28.0,0.0,48.48771120659385,-0.24915687169575626,-0.0008886750990400452,-0.2918951099807987,0.2784050633747046,3.522611232222316e-10,4,4,INTERP+EVENT,True
199-D4-23__ITER1,199-D4-23,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,1.0,0.5135067438137153,6.0,29.99218127418661,30.5973514601747,0.42185553901107486,29.32467161690564,28.265996577844852,29.325165507515187,29.627256709899687,28.5685816708389,29.627750600509234,-12.996090637093305,10.0,0.0,-18.93837815495587,0.16451182451131752,0.0001991559788192091,-1.2518840632896628,0.2324935676863077,0.5982704365240794,4,4,INTERP+EVENT,True
199-D4-23__ITER2,199-D4-23,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,1.0,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D4-27__ITER1,199-D4-27,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,27.0,2.3084792136973675e-05,23.0,62.608351088830624,65.20002482083927,1.0,79.75731262566453,70.86704104706541,81.96102410141141,81.05314949166885,72.16287791306974,83.25686096741575,-29.304175544415312,27.0,2.0,250.794298531284,-1.7311192517479568,-0.0029633255473268793,-0.01599186828711019,1.2154934689541453e-07,0.00046961794960501596,4,4,INTERP+EVENT,True
199-D4-27__ITER2,199-D4-27,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,27.0,0.25433360612897116,6.0,28.58694857996441,29.1921187659525,0.8654225497878573,28.297873791041543,29.30054475723281,29.32516550751519,28.60045888403559,29.603129850226857,29.627750600509238,-12.293474289982205,10.0,0.0,84.95369807307098,-0.6492949678906123,-0.0003818121204883474,-0.32583705790431805,0.1719962131376973,0.07750059223515872,4,4,INTERP+EVENT,True
199-D4-31__ITER1,199-D4-31,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,20.0,0.0005809160041431172,20.0,56.18581008228132,58.54191774297721,0.958486227683392,68.46483248355474,56.1010099118538,69.0876188477732,69.6428863139027,57.27906374220175,70.26567267812115,-26.09290504114066,24.0,0.0,120.19444829998551,-0.873934185092965,-0.0008161921240546787,-0.3465854098479621,1.0005687155032434e-05,0.15795923961013825,4,4,INTERP+EVENT,True
199-D4-31__ITER2,199-D4-31,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,20.0,0.7485062185217579,9.0,39.27249512920819,40.40239384413126,0.4162913565380239,37.851220517529086,37.51975535405506,37.85184666356552,38.41616987499062,38.08470471151659,38.416796021027054,-17.636247564604094,13.0,0.0,-2.7766486747718937,0.04680807668914927,2.1002986568282794e-05,-1.6162982518510791,0.44178422765738024,0.6173717398305181,4,4,INTERP+EVENT,True
199-D4-34__ITER1,199-D4-34,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,2.0,8.192514838023524e-05,11.0,26.71385381941701,28.129954221621432,0.36812702397673375,42.92628884153443,24.715199366372662,43.53326292383592,43.63433904263664,25.423249567474873,44.24131312493813,-11.356926909708505,15.0,0.0,145.8607893426707,-1.2045168088725127,2.796579079368386e-05,-0.3868021021828788,2.5347144589261904e-09,0.9707378270661021,4,4,INTERP+EVENT,True
199-D4-34__ITER2,199-D4-34,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,10.0,1.7899015603006774e-12,116.0,292.4627897498735,298.03777323543756,1.0,315.5599326321793,335.735099027121,344.56055493820264,318.34742437496135,338.52259076990305,347.3480466809847,-144.23139487493674,120.0,1.0,47.80804800592746,-0.33422762231766345,-0.0003257751990355571,-0.6245149591455894,1.295422629605429e-07,1.0952786308444534e-13,4,4,INTERP+EVENT,True
199-D4-38__ITER1,199-D4-38,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,1.0,0.8753611693525843,5.0,28.214608851148324,28.609058005820764,0.36838134743597667,26.45688476663572,26.21733563682018,26.48084627677666,26.65410934397194,26.4145602141564,26.678070854112878,-12.107304425574162,9.0,0.0,25.10239896892215,-0.16746914443155014,-3.7880700998687506e-05,-0.7790445682431455,0.6202554374341468,0.958357708815041,4,4,INTERP+EVENT,True
199-D4-38__ITER2,199-D4-38,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,1.0,2.3736568266485847e-13,184.0,499.35670139428595,505.82958531994586,1.0,554.2650936799139,516.0714150545441,555.494910516942,557.5015356427439,519.3078570173741,558.731352479772,-247.67835069714297,188.0,35.0,95.16651758056398,-0.7609357616197061,-0.00025909123381179624,0.06410492793754384,1.86749399057762e-15,9.084893941009167e-06,4,4,INTERP+EVENT,True
199-D4-39__ITER1,199-D4-39,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,23.0,0.012541368769353634,5.0,19.723401081830684,20.117850236503124,0.368377234784619,17.726105539149906,24.044244599240958,26.480846276776656,17.923330116486127,24.241469176577176,26.678070854112875,-7.861700540915342,9.0,0.0,-18.24108639598873,-0.009337270017547958,0.0017894673497044873,-1.1471241392508755,0.9585242505248908,0.0024669257429835185,4,4,INTERP+EVENT,True
