NAME,DIST
199-H1-38,165.3341908906975
199-H1-37,123.67685938590887
199-H1-32,210.28244567384175
199-H1-36,375.93594921286854
199-H1-40,144.72762576576878
199-H1-33,214.59129399518892
199-H1-35,217.88189891023333
199-H1-42,319.7368412656439
199-H1-34,227.54927636145496
199-H1-39,148.33759272356787
199-H3-25,497.0174676882904
199-H1-21,233.36809893704356
199-H1-20,249.57856966205995
199-H3-27,499.8156874032059
199-H3-26,566.4122028418316
199-K-178,271.4492463241404
199-K-179,537.2906348823735
199-K-180,1461.3269726543995
C7292,952.7304286370492
199-K-181,237.4311392648539
199-K-182,885.4936317721638
199-H1-45,529.3246240023494
199-H1-25,179.12152447828598
199-H1-27,160.15668656645357
199-H4-70,260.6131219107704
199-H4-73,474.9193238780422
199-H4-69,228.6111875505439
199-H4-71,293.4485175985619
199-H4-72,320.82278748869595
199-H6-2,622.4232108478755
199-H1-43,277.51412684110085
C7572,1410.7529651207578
199-D4-101,284.8465819551145
199-H1-3,848.1165790077122
199-D8-97,504.42645245827447
199-D5-101,323.3730352391915
199-H1-2,705.5504555022483
199-H1-1,562.9311200937832
199-H4-79,1895.185392147376
199-H4-76,853.6220953844041
199-H4-78,1871.881976702946
199-D8-95,296.07899626908227
199-D5-130,739.7205317709867
199-D5-127,423.1091431289167
199-D6-1,982.994271466962
199-D8-99,373.48458357160473
199-D7-4,602.2508351143906
199-H4-80,1319.0115119528436
199-H4-81,1202.478761881922
199-H4-75,829.4854302136108
199-H4-74,1100.7690091105146
199-D7-3,461.9432471776197
199-D5-129,924.0005970691255
199-D5-131,462.34264048882784
199-D8-98,569.2423297100826
199-D8-96,359.76265836711724
199-H1-4,1013.0593082262081
199-H4-77,1022.0627120233761
199-H1-6,579.4104897657422
199-D6-2,1013.0651570367139
199-D7-5,507.48240117702994
199-H4-82,975.2267152328524
199-H1-5,819.078297193562
199-D7-6,455.1561364592514
199-D5-128,1012.7576734732344
199-D3-5,571.5605642329443
199-D5-133,895.969912444832
199-D5-132,912.0090440214325
199-D6-3,1038.769432873463
199-D5-134,571.5730428532576
199-D5-141,608.5596206420254
199-H3-6,179.2404769061295
199-H3-7,535.2093797013014
199-H6-3,412.48488918097115
199-H6-4,985.0463543581329
199-H1-7,204.77610296628538
199-H2-1,69.29805331392264
199-H3-9,74.35835397286347
199-H3-10,576.2877598568753
C7641,3.028868671440819
C7642,3.8829029077584747
C7643,4.404384708218703
C7645,1.4158598444727897
C7646,1.357898654854718
C7647,1.4593847377769675
C7648,1.3206893197421612
C7649,36.878226347602684
C7650,37.10897727090233
199-K-183,295.5083652366546
199-K-184,536.8154807060173
199-K-185,216.72291178490968
199-K-186,677.5742208802942
199-K-187,1297.363545860658
199-K-188,983.6741557871886
