NAME,XCOORDS,YCOORDS,OU,SYSTEM
C6248,569313.3,147687,100-KR-4,KX_KW_KR4
C6249,569309.5,147688.3,100-KR-4,KX_KW_KR4
C6250,569315,147686.2,100-KR-4,KX_KW_KR4
C6251,569467.2,147888,100-KR-4,KX_KW_KR4
C6252,569475.5,147898.5,100-KR-4,KX_KW_KR4
C6253,569464.3,147897.1,100-KR-4,KX_KW_KR4
C6254,569713.2,148159.9,100-KR-4,KX_KW_KR4
C6255,569709.4,148158.5,100-KR-4,KX_KW_KR4
C6256,569711.5,148158.6,100-KR-4,KX_KW_KR4
C6257,569853.4,148265.9,100-KR-4,KX_KW_KR4
C6258,569851.3,148265.2,100-KR-4,KX_KW_KR4
C6259,569850.5,148271.3,100-KR-4,KX_KW_KR4
C6260,570214.8,148608.8,100-KR-4,KX_KW_KR4
C6261,570209.7,148618.5,100-KR-4,KX_KW_KR4
C7641,568489.2,146934.3,100-KR-4,KX_KW_KR4
C7642,568490.7,146936.4,100-KR-4,KX_KW_KR4
C7643,568494.2,146939.5,100-KR-4,KX_KW_KR4
DK-04-2,570452,148876,100-KR-4,KX_KW_KR4
DK-04-3,570453,148877,100-KR-4,KX_KW_KR4
199-H1-1,576702.3,153384.5,100-HR-3-H,HX
199-H1-2,576451.1,153378.3,100-HR-3-H,HX
199-H1-25,576279.6,154070,100-HR-3-H,HX
199-H1-27,576403.9,154024.2,100-HR-3-H,HX
199-H1-3,576163,153372.2,100-HR-3-H,HX
199-H1-32,576767.1,153766,100-HR-3-H,HX
199-H1-33,576833.3,153716.2,100-HR-3-H,HX
199-H1-34,576883.1,153667.1,100-HR-3-H,HX
199-H1-35,576958.3,153628.1,100-HR-3-H,HX
199-H1-36,576885.6,153486.5,100-HR-3-H,HX
199-H1-37,577106.9,153641.6,100-HR-3-H,HX
199-H1-38,577161,153555,100-HR-3-H,HX
199-H1-39,577223.5,153533.4,100-HR-3-H,HX
199-H1-4,575826.8,153366.9,100-HR-3-H,HX
199-H1-40,577279.3,153500.2,100-HR-3-H,HX
199-H1-42,577127.2,153391.6,100-HR-3-H,HX
199-H1-43,577213.7,153384.3,100-HR-3-H,HX
199-H1-45,577241,153062.4,100-HR-3-H,HX
199-H1-6,576037.8,153745.7,100-HR-3-H,HX
199-H1-7,577629.6,153172.1,100-HR-3-H,HX
199-H2-1,577752.3,153239.9,100-HR-3-H,HX
199-H3-10,577545.1,152723.5,100-HR-3-H,HX
199-H3-25,577410.4,152978.5,100-HR-3-H,HX
199-H3-26,577440.8,152846.5,100-HR-3-H,HX
199-H3-2A,577624.6,152750.1,100-HR-3-H,HX
199-H3-2B,577628.3,152757.2,100-HR-3-H,HX
199-H3-2C,577632.1,152750.3,100-HR-3-H,HX
199-H3-3,577562.1,152363.2,100-HR-3-H,HX
