ID,EASTING,NORTHING,WELL_NAME,WELL_ID,DRILL_DATE,WELL_TYPE,GW_AREA_OF,sspaMAPOU,AQT_GROUPI,sspaMapOU_
1190,568590.65600000000,146704.06000000000,199-K-93,A5800,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1191,568635.53100000000,146768.33900000000,199-K-94,A5801,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1192,568463.90300000000,146621.16600000000,199-K-95,A5802,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1193,568595.43600000000,146705.16000000000,199-K-96,A5803,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1194,568593.79000000000,146715.65200000000,199-K-97,A5804,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1195,568568.79900000000,146718.10400000000,199-K-98,A5805,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1196,568487.69900000000,146779.52500000000,199-K-99,A5806,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
6299,568327.31000000000,146807.11000000000,AT-K-1-D,C4339,2/3/2004,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,120,Polygon
6300,568325.50400000000,146806.93600000000,AT-K-1-M,C4340,2/3/2004,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,120,Polygon
6301,568324.61700000000,146805.77500000000,AT-K-1-S,C4341,2/3/2004,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,120,Polygon
8119,568031.67000000000,146606.75000000000,C6236,C6236,8/24/2008,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,122,Polygon
8120,568031.50000000000,146603.73000000000,C6237,C6237,8/24/2008,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,122,Polygon
8121,568033.65000000000,146604.18000000000,C6238,C6238,8/24/2008,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,122,Polygon
8122,568592.53000000000,146977.91000000000,C6239,C6239,5/10/2008,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,117,Polygon
8123,568591.59000000000,146979.26000000000,C6240,C6240,5/10/2008,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,117,Polygon
8124,568591.99000000000,146978.85000000000,C6241,C6241,5/12/2008,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,117,Polygon
8726,568489.16000000000,146934.31000000000,C7641,C7641,3/31/2010,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,118,Polygon
8727,568490.69000000000,146936.42000000000,C7642,C7642,3/31/2010,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,118,Polygon
8728,568494.19000000000,146939.50000000000,C7643,C7643,4/1/2010,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,118,Polygon
9850,568636.00000000000,146614.00000000000,C14 2-West,,,,,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Control Point
9981,568976.00000000000,146071.00000000000,CP_2014_70,,,,,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Control Point
10102,568577.00000000000,146597.00000000000,Sr90 2-West,,,,,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Control Point
10196,568867.99000000000,146311.08000000000,199-K-229,C9713,5/3/2017,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,
10197,568738.15000000000,146759.31000000000,199-K-230,C9714,4/3/2017,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,
10297,568765.65770000000,146463.61560000000,CP_2017_12,,,,,100-MAX-KW;100-MAX-KW_LO;100-KR-4;100-NR-2;100-MAX-KR-4,0,Control Point
10298,568721.13060000000,146425.84910000000,CP_2017_13,,,,,100-MAX-KW;100-MAX-KW_LO;100-KR-4;100-NR-2;100-MAX-KR-4,0,Control Point
10299,568827.33950000000,146532.41640000000,CP_2017_14,,,,,100-MAX-KW;100-MAX-KW_LO;100-KR-4;100-NR-2;100-MAX-KR-4,0,Control Point
10523,568829.62000000000,146115.87000000000,199-K-235,C9973,,PROPOSED SITE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,
10524,568856.97000000000,146074.39000000000,199-K-236,C9974,,PROPOSED SITE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,
