"NAME","WELL_ID","TYPE","STATUS","TD","BOH","ZCOORDS","YCOORDS","XCOORDS","OU"
"699-37-4","A8575","GROUNDWATER WELL","DECOMMISSIONED-V",85.0392,NA,150.566,134738.112,588550.309,"200-PO-1"
"699-37-16","A8576","VADOSE WELL","DECOMMISSIONED-V",53.34,53.34,136.023,134727.546,584870.393,"200-PO-1"
"699-37-22","A8577","VADOSE WELL","DECOMMISSIONED-V",35.6616,23.68296,147.173,134913.767,583171.359,"200-PO-1"
"699-37-25","A8578","VADOSE WELL","DECOMMISSIONED-V",41.148,41.148,154.06,134871.507,582322.25,"200-PO-1"
"699-37-36","A8579","VADOSE WELL","DECOMMISSIONED-V",131.064,NA,166.862,134722.139,578973.29,"200-PO-1"
"699-37-82B","A8580","PIEZOMETER HOST","DECOMMISSIONED-V",191.1096,63.94704,194.939,134733.616,564904.599,"200-Z-1"
"699-37-82C","A8581","VADOSE WELL","DECOMMISSIONED-V",85.9536,NA,NA,134744.516,564899.109,"200-Z-1"
"699-37-82D","A8582","VADOSE WELL","DECOMMISSIONED-V",76.2,NA,NA,134745.471,564901.444,"200-Z-1"
"699-37-83","A8583","VADOSE WELL","DECOMMISSIONED-V",NA,NA,194.896,134742.796,564709.845,"200-Z-1"
"699-37-84","A8584","GROUNDWATER WELL","CANDIDATE FOR DECOMMISSIONING",190.8048,NA,194.759,134768.37,564246.757,"200-Z-1"
"699-37-89","A8585","VADOSE WELL","DECOMMISSIONED-V",198.12,NA,194.861,134737.896,562880.724,"200-Z-1"
"699-37-92","A8586","UNCLASSIFIED","DECOMMISSIONED-V",209.7024,NA,197.741,134597.154,561920.394,"200-Z-1"
"699-37-E1","A8587","GROUNDWATER WELL","CANDIDATE FOR DECOMMISSIONING",94.488,NA,142.221,134784.153,590284.342,"200-PO-1"
"699-37-E4","A8588","GROUNDWATER WELL","IN-USE",30.48,NA,118.966,135407.527,590996.252,"200-PO-1"
"699-38-3","A8589","VADOSE WELL","DECOMMISSIONED-V",81.3816,NA,153.274,135122.219,589022.748,"200-PO-1"
"699-38-8A","A8590","VADOSE WELL","DECOMMISSIONED-V",141.732,131.30784,148.466,135238.712,587566.996,"200-PO-1"
"699-38-8B","A8591","VADOSE WELL","DECOMMISSIONED-V",68.58,NA,NA,135234.272,587565.577,"200-PO-1"
"699-38-9","A8592","VADOSE WELL","DECOMMISSIONED-V",166.116,26.67,154.743,135020.836,587292.596,"200-PO-1"
"699-38-14","A8593","VADOSE WELL","DECOMMISSIONED-V",15.5448,15.276576,139.857,134939.134,585495.107,"200-PO-1"
"699-38-15","A8594","GROUNDWATER WELL","IN-USE",41.11752,NA,139.65,134951.289,585475.295,"200-PO-1"
"699-38-19","A8595","VADOSE WELL","DECOMMISSIONED-V",158.8008,NA,141.934,135164.959,584253.427,"200-PO-1"
"699-38-34A","A8596","VADOSE WELL","DECOMMISSIONED-V",114.3,38.43528,NA,135148.824,579490.068,"200-PO-1"
"699-38-34B","A8597","VADOSE WELL","DECOMMISSIONED-V",15.02664,15.02664,162.908,135146.665,579509.527,"200-PO-1"
"699-38-85A","A8598","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,135082.557,563853.166,"200-Z-1"
"699-38-E0","A8599","UNCLASSIFIED","DECOMMISSIONED-V",82.296,NA,144.908,135026.576,590010.151,"200-PO-1"
"699-39-0","A8600","GROUNDWATER WELL","IN-USE",103.632,30.05328,137.998,135424.391,589874.103,"200-PO-1"
"699-39-1A","A8601","VADOSE WELL","DECOMMISSIONED-V",103.632,NA,146.448,135317.667,589681.47,"200-PO-1"
"699-39-2A","A8602","VADOSE WELL","DECOMMISSIONED-V",93.5736,30.87624,143.861,135405.383,589382.192,"200-PO-1"
"699-39-7A","A8603","GROUNDWATER WELL","DECOMMISSIONED-V",79.248,NA,151.163,135438.639,587816.125,"200-PO-1"
"699-39-7B","A8604","GROUNDWATER WELL","DECOMMISSIONED-V",137.7696,NA,151.211,135431.658,587805.676,"200-PO-1"
"699-39-12","A8605","UNCLASSIFIED","DECOMMISSIONED-V",46.9392,NA,163.018,135281.42,586135.479,"200-PO-1"
"699-39-23","A8606","VADOSE WELL","DECOMMISSIONED-V",158.496,NA,146.094,135300.571,582838.988,"200-PO-1"
"699-39-82","A8607","VADOSE WELL","CANDIDATE FOR DECOMMISSIONING",10.0584,8.763,196.66,135221.4,564780.8,"200-Z-1"
"699-39-84A","A8608","VADOSE WELL","DECOMMISSIONED-V",64.9224,NA,194.628,135406.66,564280.422,"200-Z-1"
"699-39-84B","A8609","VADOSE WELL","DECOMMISSIONED-V",871.4232,NA,194.315,135557.641,564260.334,"200-Z-1"
"699-39-84C","A8610","PIEZOMETER HOST","IN-USE",1042.416,1037.5392,195.337,135566.126,564337.745,"200-Z-1"
"699-39-84D","A8611","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,135342.083,564292.804,"200-Z-1"
"699-39-84E","A8612","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,135342.083,564292.804,"200-Z-1"
