"NAME","TOP","BOT"
"199-H3-36",105.342992,97.713848
"199-H3-37",107.939384,101.83424
"199-H3-38",107.971944,101.8668
"199-H3-39",108.729008,102.587288
"199-H3-4",120.0602,112.4402
"199-H3-5",118.3662,112.2702
"199-H3-6",118.0174,111.9214
"199-H3-7",117.708056,113.136056
"199-H3-9",102.546928,99.498928
"199-H4-10",NA,NA
"199-H4-11",114.5736,111.5256
"199-H4-12A",115.04,111.8396
"199-H4-12B",NA,NA
"199-H4-12C",NA,NA
"199-H4-13",NA,NA
"199-H4-14",NA,NA
"199-H4-15A",NA,NA
"199-H4-15B",NA,NA
"199-H4-15C",NA,NA
"199-H4-16",NA,NA
"199-H4-17",NA,NA
"199-H4-18",116.909,113.861
"199-H4-2",NA,NA
"199-H4-4",NA,NA
"199-H4-45",117.3744,111.03456
"199-H4-46",117.58424,111.2444
"199-H4-47",117.72776,111.38792
"199-H4-49",118.0326,113.24724
"199-H4-5",NA,NA
"199-H4-6",NA,NA
"199-H4-63",116.522616,110.43576
"199-H4-64",118.64436,112.54836
"199-H4-65",116.936896,113.888896
"199-H4-69",115.4404,112.389352
"199-H4-7",115.6486,112.6006
"199-H4-70",115.888,112.84
"199-H4-71",116.052808,111.471664
"199-H4-72",116.205096,111.627
"199-H4-73",116.1294,110.027304
"199-H4-74",118.3446,113.7726
"199-H4-75",118.0264,113.4544
"199-H4-76",118.3774,115.3294
"199-H4-77",117.951424,114.906472
"199-H4-78",117.9606,111.8646
"199-H4-79",119.387368,113.294416
"199-H4-8",NA,NA
"199-H4-80",119.83324,109.16524
"199-H4-81",119.150248,113.0512
"199-H4-82",119.647232,113.575616
"199-H4-83",116.77312,113.72512
"199-H4-84",117.18028,114.13228
"199-H4-85",119.680528,113.584528
"199-H4-86",118.420808,110.794712
"199-H4-87",117.95716,111.852016
"199-H4-88",119.3346,114.7626
"199-H4-89",118.621184,114.064424
"199-H4-9",NA,NA
"199-H4-90",107.069656,102.49156
"199-H4-91",106.82204,102.25004
"199-H4-92",112.104344,110.5712
"199-H4-93",113.88488,112.36088
"199-H4-94",103.594392,95.882952
"199-H4-95",108.382248,102.2832
"199-H5-10",NA,NA
"199-H5-11",NA,NA
"199-H5-12",NA,NA
"199-H5-13",NA,NA
"199-H5-14",NA,NA
"199-H5-16",112.62436,110.880904
"199-H5-1A",117.56496,112.65768
"199-H5-2",NA,NA
"199-H5-6",NA,NA
"199-H5-7",NA,NA
"199-H5-8",NA,NA
"199-H5-9",NA,NA
"199-H6-1",117.21928,110.87944
"199-H6-2",116.888912,113.840912
"199-H6-3",117.1234,109.5034
"199-H6-4",117.73288,110.11288
"199-H6-7",121.4046,115.3086
"199-H6-8",109.040928,107.51388
"199-H6-9",106.327096,103.273
"199-H7-1",108.146328,103.57128
"199-K-106A",121.194712,114.87316
"199-K-107A",120.797176,114.484768
"199-K-108A",121.63612,115.43344
"199-K-109A",121.59292,115.5274
"199-K-110A",122.04048,115.71588
"199-K-111A",121.263632,115.15544
"199-K-112A",120.17564,112.534304
"199-K-113A",119.847096,113.735856
"199-K-114A",119.317056,114.729816
"199-K-115A",120.218872,111.056584
"199-K-116A",120.532824,103.69872
"199-K-117A",118.5436,106.379032
"199-K-118A",120.365264,108.084872
"199-K-119A",121.47328,106.23328
"199-K-120A",119.4178,96.5578
"199-K-121A",123.73908,114.57984
"199-K-122A",122.619,113.475
"199-K-123A",124.562144,115.396808
"199-K-124A",118.05488,115.00688
"199-K-125A",120.4204,108.2284
"199-K-126",120.102832,114.006832
"199-K-127",116.908664,101.665616
"199-K-128",126.735416,116.058272
"199-K-129",120.0388,112.4188
"199-K-130",119.66568,110.4912
"199-K-131",118.615216,109.46512
"199-K-132",120.708904,113.091952
"199-K-133",120.30612,110.97924
"199-K-134",120.497256,111.365448
"199-K-135",120.44564,111.277256
"199-K-136",120.240992,111.0848
"199-K-137",128.162,112.922
"199-K-138",119.48392,108.81592
"199-K-139",123.42172,112.75372
"199-K-140",123.3556,112.6876
"199-K-141",119.3216,108.6536
"199-K-142",119.8454,111.311
"199-K-143",119.52864,108.87588
"199-K-144",120.51736,97.65736
"199-K-145",120.0216,89.5416
"199-K-146",119.8846,112.2646
"199-K-147",117.3876,111.2916
"199-K-148",119.827,107.635
"199-K-149",120.165,107.973
"199-K-150",120.4864,105.2464
"199-K-151",126.2494,104.9134
"199-K-152",128.2064,105.3464
"199-K-153",128.267,106.931
"199-K-154",124.3964,106.1084
"199-K-156",130.1168,90.4928
"199-K-157",127.13268,96.65268
"199-K-158",126.57392,112.85792
"199-K-159",126.9054,105.5694
"199-K-160",126.1176,104.7816
"199-K-161",119.3192,111.6992
"199-K-162",120.11648,86.58848
"199-K-163",126.75884,105.42284
"199-K-164",127.90236,106.56636
"199-K-165",128.3902,94.8622
"199-K-166",124.4252,93.9452
"199-K-168",111.912832,93.68884
"199-K-169",132.1094,101.6294
"199-K-170",135.0216,98.4456
"199-K-171",135.6876,99.1116
"199-K-172",134.5034,104.0234
"199-K-173",126.4236,108.1356
"199-K-174",127.42912,109.14112
"199-K-175",126.894184,108.606184
"199-K-178",124.216616,105.913376
"199-K-179",127.035824,96.552776
"199-K-180",127.6632,100.237296
"199-K-181",124.9994,106.7114
"199-K-182",125.879072,106.048784
"199-K-183",126.0034,107.7154
"199-K-184",106.93656,93.22056
"199-K-185",122.8832,93.9272
"199-K-186",123.557216,105.26312
"199-K-187",101.36744,95.27144
"199-K-188",122.42756,111.75956
"199-K-189",122.7178,95.2858
"199-K-19",NA,NA
"199-K-190",106.911488,94.710344
"199-K-191",127.91796,112.674912
"199-K-192",80.65404,77.60604
"199-K-193",104.85576,95.71176
"199-K-194",124.28956,113.62156
"199-K-195",123.025544,109.303448
"199-K-196",122.975008,94.025104
"199-K-197",103.640408,94.496408
"199-K-198",119.385384,107.190336
"199-K-199",105.4368,96.2928
"199-K-200",121.519296,118.468248
"199-K-201",119.164512,116.113464
"199-K-202",122.72332,95.29132
"199-K-203",122.228384,94.768952
"199-K-204",103.702392,94.558392
"199-K-205",123.616472,93.133424
"199-K-206",110.5068,95.263752
"199-K-207",121.82576,95.91776
"199-K-208",121.793456,94.23344
"199-K-209",123.372736,105.10912
"199-K-210",120.7342,90.232864
"199-K-212",119.869976,106.141784
"199-K-22",NA,NA
"199-K-220",128.95432,99.986128
"199-K-221",120.69564,108.4884
"199-K-222",122.622008,108.909056
"199-K-223",122.813544,92.33964
"199-K-224",122.0944,91.611352
"199-K-225",126.847776,99.397488
"199-K-226",122.261104,91.765864
"199-K-227",123.872776,91.859632
"199-K-228",121.703152,94.271152
"199-K-229",122.777616,89.155128
"199-K-230",114.955552,93.610408
"199-K-231",122.908984,94.056616
"199-K-232",120.823408,94.909312
"199-K-233",123.61904,109.8878
"199-K-234",123.58368,96.139488
"199-K-235",123.66472,111.47272
"199-K-236",123.50204,111.31004
"199-K-238",122.81864,92.195384
"199-K-239",122.597392,96.668056
"199-K-240",123.168624,95.709192
"199-K-242",122.544656,93.603896
"199-K-243",122.349192,94.911096
"199-K-244",121.071584,99.738632
"199-K-30",NA,NA
"199-K-31",NA,NA
"199-K-32A",121.84444,115.74844
"199-K-32B",87.833,84.785
"199-K-34",122.35788,116.26188
"199-K-36",123.4758,117.3798
"199-K-37",121.56316,115.46716
"199-N-103A",119.8984,110.7544
"199-N-104A",122.1376,114.5176
"199-N-105A",118.5928,110.9728
"199-N-106A",119.7838,109.1158
"199-N-112AO",NA,NA
"199-N-119",117.759,115.65588
"199-N-120",114.8884,113.39488
"199-N-121",111.4052,109.91168
"199-N-122",120.178112,114.124784
"199-N-123",120.052048,113.971288
"199-N-126",116.31496,114.73
"199-N-127",119.22304,117.69904
"199-N-128",116.53232,115.00832
"199-N-129",119.43092,117.90692
"199-N-130",116.515,114.991
"199-N-131",119.549,118.025
"199-N-132",116.21344,114.68944
"199-N-133",119.14404,117.62004
"199-N-136",119.9234,114.7418
"199-N-137",119.8674,114.6858
"199-N-138",120.74256,115.56096
"199-N-139",120.6474,115.4658
"199-N-14",120.406,114.31
"199-N-140",120.3274,115.1458
"199-N-141",120.1264,114.9448
"199-N-142",120.0624,114.8808
"199-N-143",120.1254,114.9438
"199-N-144",120.1134,114.9318
"199-N-145",119.9504,114.7688
"199-N-146",120.2774,115.0958
"199-N-147",120.0874,114.9058
"199-N-148",116.11744,114.59344
"199-N-149",118.7732,117.2492
"199-N-150",118.7512,117.2272
"199-N-151",116.007,114.483
"199-N-152",113.49964,111.97564
