KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp_py,p_event_py,AIC_py,BIC_py,logLik_py,n_obs_py,n_cens,model_type,fit_ok,beta_intercept_py,beta_interp_py,beta_event_py,sigma,WELL_r,ITER_r,LAG_r,p_trend_r,AIC_r,BIC_r,logLik_r,beta_intercept_r,beta_interp_r,beta_event_r,p_interp_r,p_event_r,n_obs_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff,logLik_diff,beta_intercept_diff,beta_interp_diff,beta_event_diff,p_interp_diff,p_event_diff,n_obs_diff
199-D4-27__ITER2,199-D4-27,2,27.0,ULAG,0.4677403031773941,0.47537663854478185,0.19896582687462327,30.85908657444669,31.46425676043478,-13.429543287223344,10,0,INTERP+EVENT,True,38.80981680235798,-0.30580893287873856,-0.00025771548960828045,0.7672746785316822,199-D4-27,2.0,27.0,0.254333606129071,28.5869485799652,29.1921187659533,-11.2934742899826,84.9536980844853,-0.649294967992333,-0.0003818121204625,0.171933300105262,0.0774570958024965,10.0,both,0.0,0.2134066970483231,2.27213799448149,2.2721379944814792,-2.136068997240745,-46.14388128212732,0.34348603511359443,0.00012409663085421953,0.30344333843951987,0.12150873107212677,0.0
199-D4-31__ITER1,199-D4-31,1,20.0,ULAG,0.023819333650233032,0.004868407179069619,0.2796378046342327,64.63453421416877,66.99064187486466,-30.317267107084383,24,0,INTERP+EVENT,True,79.2201133398859,-0.6232681020825476,-0.0007293259426374807,0.8254305662841936,199-D4-31,1.0,20.0,0.0005809160041435,56.1858100822827,58.5419177429786,-25.0929050411413,120.194448060435,-0.873934183768609,-0.0008161921183468,1.00023588998949e-05,0.157955571309473,24.0,both,0.0,0.023238417646089533,8.448724131886067,8.448724131886067,-5.224362065943083,-40.974334720549095,0.2506660816860614,8.686617570931928e-05,0.004858404820169724,0.12168223332475972,0.0
199-D4-31__ITER2,199-D4-31,2,20.0,ULAG,0.17707922335206572,0.04621246761085888,0.2153572679804835,37.430085749347604,38.55998446427068,-16.715042874673802,13,0,INTERP+EVENT,True,-9.547415966143225,0.10651177426750118,4.441154179753425e-05,0.1777847867907888,199-D4-31,2.0,20.0,0.748506218521843,39.2724951292084,40.4023938441315,-16.6362475646042,-2.77664872955012,0.0468080771065014,2.1002986914328e-05,0.44172377999267,0.61733808657249,13.0,both,0.0,-0.5714269951697772,-1.842409379860797,-1.8424093798608254,-0.0787953100696015,-6.770767236593105,0.059703697160999776,2.340855488320625e-05,-0.3955113123818111,-0.4019808185920065,0.0
199-D4-34__ITER1,199-D4-34,1,,NONE,,,,,,,15,0,INTERP+EVENT,False,,,,,199-D4-34,1.0,2.0,8.19251483800132e-05,26.7138538194125,28.1299542216169,-10.3569269097062,145.860789450774,-1.20451680940547,2.7965787613277e-05,2.5347358922794202e-09,0.970738145898924,15.0,both,,,,,,,,,,,0.0
199-D4-34__ITER2,199-D4-34,2,,NONE,,,,,,,120,1,INTERP+EVENT,False,,,,,199-D4-34,2.0,10.0,1.78990156030068e-12,292.46278974987,298.037773235434,-143.231394874935,47.8080480255642,-0.334227622485197,-0.0003257751990401,1.29543607213514e-07,1.09513847763299e-13,120.0,both,,,,,,,,,,,0.0
199-D4-38__ITER1,199-D4-38,1,1.0,ULAG,0.6240240484886193,0.5352451312204622,0.605620188202384,28.597760853462614,28.992210008135054,-12.298880426731307,9,0,INTERP+EVENT,True,-76.39001921135402,0.6896635522876373,0.0007614851705855221,0.44190962801513556,199-D4-38,1.0,1.0,0.875361169352476,28.2146088511481,28.6090580058205,-11.107304425574,25.1023987030642,-0.167469142690409,-3.78806966995023e-05,0.620214392416188,0.958351334137284,9.0,both,0.0,-0.25133712086385673,0.38315200231451385,0.38315200231455293,-1.1915760011573067,-101.49241791441821,0.8571326949780463,0.0007993658672850244,-0.08496926119572579,-0.35273114593490007,0.0
199-D4-38__ITER2,199-D4-38,2,1.0,ULAG,,,,,,,188,35,INTERP+EVENT,False,,,,,199-D4-38,2.0,1.0,2.37365682664858e-13,499.356701394288,505.829585319948,-246.678350697144,95.1665175799247,-0.76093576161653,-0.0002590912337979,1.86481990537949e-15,9.0838509679426e-06,188.0,both,0.0,,,,,,,,,,0.0
199-D4-39__ITER1,199-D4-39,1,23.0,ULAG,0.012315192184316759,0.8432990779951314,0.0003088321753374474,20.747050314041,21.14149946871344,-8.3735251570205,9,0,INTERP+EVENT,True,-2.797960723438644,0.0704442197210263,0.0018486106781343571,0.3169072035766486,199-D4-39,1.0,23.0,0.0125413687693539,19.7234010818307,20.1178502365032,-6.86170054091536,-18.2410863890229,-0.0093372700543423,0.0017894673495205,0.958522076632335,0.0024658026427892,9.0,both,0.0,-0.0002261765850371418,1.0236492322102997,1.0236492322102393,-1.51182461610514,15.443125665584256,0.0797814897753686,5.9143328613857045e-05,-0.11522299863720364,-0.0021569704674517525,0.0
199-D4-39__ITER2,199-D4-39,2,23.0,ULAG,,,,,,,148,11,INTERP+EVENT,False,,,,,199-D4-39,2.0,23.0,9.07052211118753e-13,378.018754744846,383.999619918403,-186.009377372423,57.1157259822181,-0.372488048524181,-0.0006530267268469,0.0011092409482716,2.83832785426678e-16,147.0,both,0.0,,,,,,,,,,1.0
199-D4-48__ITER1,199-D4-48,1,6.0,ULAG,0.00805931280420591,0.0026377024010897122,0.2091481859557196,37.386108814737355,38.66422347396787,-16.693054407368678,14,3,INTERP+EVENT,True,194.75195787770414,-1.6262136223625967,-0.0018509380006571153,1.130746125478789,199-D4-48,1.0,6.0,0.0019819279787431,33.7654047304875,35.043519389718,-13.8827023652437,229.878377307681,-1.83316740680313,-0.0008090393375385,0.0003349572667362,0.544883688635961,14.0,both,0.0,0.006077384825462809,3.6207040842498586,3.620704084249873,-2.8103520421249772,-35.12641942997686,0.20695378444053336,-0.0010418986631186154,0.0023027451343535124,-0.33573550268024144,0.0
