KEY,WELL,ITER,LAG,lag_source,p_trend,p_interp,p_event,AIC,BIC,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma
199-D8-73__ITER2,199-D8-73,2,18.0,ULAG,1.3323475656079609e-10,1.5435219890731644e-12,1.7752217481592117e-11,134.47056164567593,138.72483041576612,-65.23528082283796,62,0,INTERP+EVENT,True,52.96247391996385,-0.4082871580233768,-0.000761501849117767,0.4038401457783104
199-D8-73__ITER3,199-D8-73,3,18.0,ULAG,0.36928268888268545,0.16232191793142814,0.4169255233327337,141.20773160486007,144.9080268082802,-68.60386580243004,47,9,INTERP+EVENT,True,26.341467774063705,-0.2129726348236361,-0.00011220342257932584,0.7702948144924534
199-D8-88__ITER1,199-D8-88,1,8.0,ULAG,0.018044769926424453,0.7652231548980534,0.0012867507145770374,27.1868489485848,27.98263949418154,-11.5934244742924,11,0,INTERP+EVENT,True,9.657808473918465,-0.04940194810997176,0.0016426755905297023,0.41123662800232236
199-D8-88__ITER2,199-D8-88,2,8.0,ULAG,,0.0007782964397300797,5.783574528355974e-31,143.60815640632322,148.2957672500306,-69.80407820316161,77,1,INTERP+EVENT,True,43.370100514596444,-0.3189176947560756,-0.002081292487261705,0.6986703289384476
199-D8-88__ITER3,199-D8-88,3,8.0,ULAG,,0.3261668496352681,0.12246590897351098,234.58935619530106,239.3282519002351,-115.29467809765053,79,18,INTERP+EVENT,True,15.195697058736375,-0.12004776509799972,-0.00014907060484651037,0.9190191381745271
199-D8-89__ITER1,199-D8-89,1,,NONE,,,,,,,190,9,INTERP+EVENT,False,,,,
199-D8-90__ITER1,199-D8-90,1,,NONE,,,,,,,81,1,INTERP+EVENT,False,,,,
199-D8-90__ITER2,199-D8-90,2,,NONE,,,,,,,112,6,INTERP+EVENT,False,,,,
199-D8-91__ITER1,199-D8-91,1,,NONE,,,,,,,81,0,INTERP+EVENT,False,,,,
199-D8-91__ITER2,199-D8-91,2,,NONE,,,,,,,108,3,INTERP+EVENT,False,,,,
199-D8-93__ITER1,199-D8-93,1,1.0,ULAG,0.064762106879659,0.09360360349523032,0.022751959314420454,41.09408676205133,42.510187164255754,-18.547043381025667,15,0,INTERP+EVENT,True,-44.22272663991611,0.38329521698998237,0.00041297256564413597,0.5100942079985752
199-D8-94__ITER1,199-D8-94,1,1.0,ULAG,0.009094015205062922,0.0007879387614199428,0.19696765483386147,34.33000142654629,35.60811608577681,-15.165000713273146,14,0,INTERP+EVENT,True,-76.45832837025857,0.6696934554233385,0.00024552839937460864,0.5309009506380511
199-D8-95__ITER1,199-D8-95,1,,NONE,,,,,,,258,2,INTERP+EVENT,False,,,,
199-D8-96__ITER1,199-D8-96,1,,NONE,,,,,,,193,0,INTERP+EVENT,False,,,,
199-D8-97__ITER1,199-D8-97,1,,NONE,,,,,,,198,0,INTERP+EVENT,False,,,,
199-D8-98__ITER1,199-D8-98,1,,NONE,,,,,,,181,1,INTERP+EVENT,False,,,,
199-D8-99__ITER1,199-D8-99,1,,NONE,,,,,,,104,3,INTERP+EVENT,False,,,,
199-H1-1__ITER1,199-H1-1,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-1__ITER2,199-H1-1,2,,NONE,,,,,,,189,0,INTERP+EVENT,False,,,,
199-H1-2__ITER1,199-H1-2,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-2__ITER2,199-H1-2,2,,NONE,,,,,,,164,0,INTERP+EVENT,False,,,,
199-H1-35__ITER1,199-H1-35,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-35__ITER2,199-H1-35,2,,NONE,,,,,,,193,19,INTERP+EVENT,False,,,,
199-H1-36__ITER1,199-H1-36,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-36__ITER2,199-H1-36,2,,NONE,,,,,,,173,0,INTERP+EVENT,False,,,,
199-H1-37__ITER1,199-H1-37,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-37__ITER2,199-H1-37,2,,NONE,,,,,,,124,20,INTERP+EVENT,False,,,,
199-H1-38__ITER1,199-H1-38,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-38__ITER2,199-H1-38,2,,NONE,,,,,,,112,17,INTERP+EVENT,False,,,,
199-H1-4__ITER1,199-H1-4,1,,NONE,,,,,,,2,0,INTERP+EVENT,False,,,,
199-H1-4__ITER2,199-H1-4,2,,NONE,,,,,,,95,0,INTERP+EVENT,False,,,,
199-H1-40__ITER1,199-H1-40,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-40__ITER2,199-H1-40,2,,NONE,,,,,,,86,15,INTERP+EVENT,False,,,,
199-H1-42__ITER1,199-H1-42,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-42__ITER2,199-H1-42,2,,NONE,,,,,,,181,6,INTERP+EVENT,False,,,,
199-H1-43__ITER1,199-H1-43,1,,NONE,,,,,,,5,0,INTERP+EVENT,False,,,,
199-H1-43__ITER2,199-H1-43,2,,NONE,,,,,,,187,4,INTERP+EVENT,False,,,,
199-H1-45__ITER1,199-H1-45,1,,NONE,,,,,,,4,0,INTERP+EVENT,False,,,,
199-H1-45__ITER2,199-H1-45,2,,NONE,,,,,,,55,8,INTERP+EVENT,False,,,,
199-H1-45__ITER3,199-H1-45,3,,NONE,,,,,,,125,5,INTERP+EVENT,False,,,,
199-H1-46__ITER1,199-H1-46,1,,NONE,,,,,,,101,1,INTERP+EVENT,False,,,,
199-H1-47__ITER1,199-H1-47,1,,NONE,,,,,,,63,0,INTERP+EVENT,False,,,,
199-H1-48__ITER1,199-H1-48,1,,NONE,,,,,,,60,0,INTERP+EVENT,False,,,,
199-H1-49__ITER1,199-H1-49,1,,NONE,,,,,,,76,2,INTERP+EVENT,False,,,,
199-H1-50__ITER1,199-H1-50,1,0.0,NONE,0.16773196479627983,,0.15348475490001792,45.93574547347636,46.70833419571614,-21.96787273673818,16,1,EVENT,True,0.32712957828235445,,0.00015276363626257007,0.25894824433528585
199-H1-51__ITER1,199-H1-51,1,,NONE,,,,,,,39,0,INTERP+EVENT,False,,,,
199-H1-7__ITER1,199-H1-7,1,6.0,ULAG,,,,,,,1,0,INTERP+EVENT,False,,,,
199-H1-7__ITER2,199-H1-7,2,6.0,ULAG,0.13943111215296322,0.05185897475307568,0.28135732177766226,53.84777509491855,55.839239642026534,-24.923887547459277,20,7,INTERP+EVENT,True,-41.77005160194375,0.3684812362573895,0.00015534317085742492,0.8231031904089675
199-H2-1__ITER1,199-H2-1,1,0.0,NONE,2.262598768343338e-06,,1.141348088057175e-09,36.93802930391337,37.93376157746736,-17.469014651956684,20,7,EVENT,True,-2.2663607135632793,,0.0019037903619068784,0.54422263697157
199-H2-1__ITER2,199-H2-1,2,0.0,NONE,1.4080107635372485e-08,,7.442150770340196e-17,35.09491772187658,36.23041193780573,-16.54745886093829,23,0,EVENT,True,3.0092030972054378,,-0.00026423931699372835,0.14432616131572518
199-H3-10__ITER1,199-H3-10,1,0.0,NONE,0.10367210062470944,,0.09485191900204565,61.93020724682981,63.18830378485129,-29.965103623414905,26,5,EVENT,True,0.8997727902653563,,8.50699032718133e-05,0.32613590064257736
199-H3-11__ITER1,199-H3-11,1,80.0,ULAG,0.018067412463126042,0.2958471178599298,0.0015271460193988944,30.0272340372925,30.9970473368685,-13.01361701864625,12,0,INTERP+EVENT,True,-14.908568408015409,0.13573642733610386,0.00027640483753321656,0.25084985140938537
199-H3-12__ITER1,199-H3-12,1,0.0,NONE,5.242695166884914e-11,,2.4616016293285424e-80,-4.192059846776935,-3.6271104893153985,3.0960299233884676,13,0,EVENT,True,14.107371392009865,,-0.0018198036909709418,0.20469474327405346
199-H3-13__ITER1,199-H3-13,1,0.0,NONE,0.0002804994831150376,,3.632123002812801e-06,28.53395972351512,29.17301705313038,-13.26697986175756,14,0,EVENT,True,9.467002590780673,,-0.0009114352166438479,0.40700939524820035
199-H3-15__ITER1,199-H3-15,1,0.0,NONE,0.06620094737090987,,0.5391033082274697,21.328224823415958,21.407666365095793,-9.664112411707979,8,0,EVENT,True,11.980207003963365,,-0.001289181501570716,0.3838408541899622
199-H3-21__ITER1,199-H3-21,1,8.0,ULAG,8.14013306538186e-07,1.6850529778022243e-09,0.012508334846673996,83.79675027571218,87.07192259516495,-39.89837513785609,38,0,INTERP+EVENT,True,37.022624966792705,-0.28399003170317294,-0.00023360624658433932,0.288194866839208
199-H3-22__ITER1,199-H3-22,1,0.0,NONE,,,1.8332539633809757e-73,78.96142310004477,81.20991834209413,-38.480711550022384,70,0,EVENT,True,7.144453220483215,,-0.00032883694690100037,0.0841422528597623
199-H3-25__ITER1,199-H3-25,1,,NONE,,,,,,,1,0,INTERP+EVENT,False,,,,
199-H3-25__ITER2,199-H3-25,2,,NONE,,,,,,,84,1,INTERP+EVENT,False,,,,
199-H3-26__ITER1,199-H3-26,1,,NONE,,,,,,,50,4,INTERP+EVENT,False,,,,
199-H3-28__ITER1,199-H3-28,1,0.0,NONE,1.3322676295501878e-15,,1.5423615788682179e-22,176.58132389623051,179.01214069507384,-87.29066194811526,84,0,EVENT,True,6.4433287959157965,,-0.0005695095655540249,0.37438431912787806
199-H3-29__ITER1,199-H3-29,1,0.0,NONE,,,3.1124464486502364e-68,132.4488303300866,134.95968983660345,-65.2244151650433,91,0,EVENT,True,7.501903304964412,,-0.0005422525421384543,0.22462547822464887
