NAME,XCOORDS,YCOORDS,TOP,BOT,OU,DIST,EVENT,ANALYTE
199-D4-50,572687.3,151454.007,117.928232,113.46291199999999,100-HR-3-D,183.48826341591231,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-51,572686.611,151441.402,118.225504,113.653504,100-HR-3-D,191.6287398901501,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-52,572674.91,151436.734,118.29322399999998,113.76389599999999,100-HR-3-D,186.311122402838,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-53,572674.099,151424.628,118.141352,113.630312,100-HR-3-D,194.02066920272765,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-54,572662.428,151419.728,118.11643999999998,113.60539999999999,100-HR-3-D,188.88395127814286,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-55,572659.029,151414.635,117.85712000000001,113.28816800000001,100-HR-3-D,189.9013543615726,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-56,572657.655,151402.283,118.221176,113.636984,100-HR-3-D,197.36971073175982,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-57,572645.941,151397.862,118.12467999999998,113.59839999999998,100-HR-3-D,191.87328516189595,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-58,572644.812,151385.354,118.05274400000002,113.538656,100-HR-3-D,199.626949484958,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-59,572633.324,151380.821,117.48678399999999,112.92087999999998,100-HR-3-D,194.3718337479526,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-6,572733.34,151577.919,120.182256,114.092352,100-HR-3-D,132.04949622961013,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-60,572632.367,151368.255,117.211992,112.700952,100-HR-3-D,202.29047465131188,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-61,572620.657,151363.701,116.83438399999999,112.30505599999998,100-HR-3-D,196.8881464353157,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-62,572619.521,151351.066,117.70872,110.143584,100-HR-3-D,204.7237867706396,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-63,572607.636,151346.844,117.38600000000001,109.86658400000002,100-HR-3-D,198.9664422960485,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-64,572606.946,151333.911,117.541112,109.94549599999999,100-HR-3-D,207.33106922073426,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-65,572594.767,151329.737,117.43633600000001,109.86815200000001,100-HR-3-D,201.3267914119382,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-66,572594.28,151316.861,117.69436799999998,110.12923199999999,100-HR-3-D,209.80011753528072,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-67,572581.859,151312.779,117.45844,109.92988,100-HR-3-D,203.5565944119415,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-68,572581.324,151299.838,118.52450400000001,109.392696,100-HR-3-D,212.03954211486393,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-69,572568.997,151295.692,117.736832,110.129024,100-HR-3-D,205.90832724534704,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-7,572760.866,151551.254,118.98209600000001,114.41924000000002,100-HR-3-D,170.36935902376186,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-70,572568.789,151282.677,118.17702399999999,110.557024,100-HR-3-D,214.68005714650562,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-71,572556.286,151278.503,118.923976,109.86227199999999,100-HR-3-D,208.439915827332,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-72,572554.432,151265.778,118.63838399999999,109.57667999999998,100-HR-3-D,215.81457542188673,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-73,572542.167,151262.724,118.6116,109.55904,100-HR-3-D,208.97981432020714,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-74,572539.801,151249.798,118.23048800000001,109.17792800000001,100-HR-3-D,216.1195579257552,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-75,572527.758,151246.947,118.13940799999999,109.11427999999998,100-HR-3-D,209.30722920189652,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-76,572526.06,151234.236,118.242576,109.18392,100-HR-3-D,216.78585423947192,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-77,572513.333,151231.008,118.57548,109.48939200000001,100-HR-3-D,209.73406450500323,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-78,572511.284,151218.263,118.31048799999999,109.25487999999999,100-HR-3-D,216.98048130804924,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-79,572498.237,151214.024,118.83761600000001,109.77896000000001,100-HR-3-D,210.38888656497318,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-8,572763.298,151552.647,117.183064,114.08324800000001,100-HR-3-D,171.18474360078244,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-80,572496.869,151202.591,118.732056,109.67035200000001,100-HR-3-D,216.69501046544713,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-81,572484.362,151199.64,118.56400000000001,109.49620000000002,100-HR-3-D,208.48133851422432,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-82,572470.262,151183.894,118.23540000000001,109.17674400000001,100-HR-3-D,206.69442641060024,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-83,572859.432,151723.418,119.4184,114.8464,100-HR-3-D,124.08633337373837,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-84,572568.043,151433.521,120.478488,112.864584,100-HR-3-D,110.71759530577586,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-85,572486.163,151324.202,119.53359999999999,110.3896,100-HR-3-D,126.06074852748083,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-86,572389.064,151202.144,119.20145600000001,110.07879200000002,100-HR-3-D,130.85990161785693,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-9,572758.204,151543.316,115.78704800000001,114.13503200000001,100-HR-3-D,173.8738248844559,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-92,572714.05,151486.31,118.222552,112.1296,100-HR-3-D,180.81446573043203,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-93,572710.39,151491.2,118.282584,112.17744,100-HR-3-D,174.79747341632347,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-95,572612.82,151226.7,119.24303200000001,108.565888,100-HR-3-D,285.1115798214754,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-96,572777.03,151519.78,117.3816,114.3336,100-HR-3-D,203.7150577460877,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-97,572906.23,151625.33,117.01712,112.44512,100-HR-3-D,225.40366968216108,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-98,572574.52,151481.65,118.65904,112.56304000000002,100-HR-3-D,82.43520085420302,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-99,572527.36,151377.08,119.47131999999999,110.32122399999999,100-HR-3-D,119.79766640468775,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-101,572943.04,151521.52,120.59009599999999,111.44304799999999,100-HR-3-D,323.37303523776256,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-103,573505.87,151460.87,119.13056,110.04751999999999,100-HR-3-D,774.6804679768399,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-104,573265.48,151422.43,119.664,110.52000000000001,100-HR-3-D,626.03750117415,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-106,573503.74,151597.97,122.89778399999999,112.23283199999999,100-HR-3-D,677.8288598471673,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-107,572932.37,151283.14,119.00496000000001,112.90896000000001,100-HR-3-D,479.04006329026726,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-108,572923.34,151222.9,118.84076000000002,112.74476000000001,100-HR-3-D,513.7673022114451,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-109,572917.37,151285.57,118.75407999999999,112.65807999999998,100-HR-3-D,466.4544362956094,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-110,572931.57,151277.61,119.57960000000001,113.48360000000001,100-HR-3-D,482.249079637189,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-114,572918.04,151223.75,118.99964,112.8122,100-HR-3-D,509.32627687596556,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-115,572923.15,151221.12,118.99816000000001,112.90216000000001,100-HR-3-D,514.8493640046353,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-123,573824.21,151639.41,120.162952,107.891704,100-HR-3-D,839.21976148635,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-125,573667.39,151746.18,119.90570400000001,111.32558400000002,100-HR-3-D,659.2229116817089,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-126,573705.71,151843.28,119.24300000000001,110.09900000000002,100-HR-3-D,605.2531199977296,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-127,572992.26,151428.31,119.63192800000002,113.53897600000002,100-HR-3-D,423.1091431273868,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-13,573535.527,151955.183,120.39175999999999,114.08239999999999,100-HR-3-D,413.0711420043715,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-130,574039.2,151928.51,118.312608,113.734512,100-HR-3-D,739.7205317743757,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-131,573684.39,152006.75,119.00833600000001,111.38833600000001,100-HR-3-D,462.3426404911926,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-132,573875.35,151586.87,119.722968,112.102968,100-HR-3-D,912.0090440233485,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-133,573731.55,151497.37,120.58204799999999,111.444144,100-HR-3-D,895.969912446012,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-134,573675.32,151862.46,103.47287999999998,100.39439999999999,100-HR-3-D,571.5730428552089,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-14,573789.632,151787.99,120.37892,113.94763999999999,100-HR-3-D,700.1089084221347,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-141,573243.43,151424.51,95.13715199999999,92.09219999999999,100-HR-3-D,608.5596206409973,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-142,573791.87,151563.26,119.70054400000001,116.6434,100-HR-3-D,880.1578091231983,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-143,573701.53,151784.26,119.35548,111.73548,100-HR-3-D,649.6473955555288,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-145,573215.62,151396.28,121.86716,109.67516,100-HR-3-D,607.669297131477,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-146,573219.79,151345.59,120.737088,110.059944,100-HR-3-D,645.4582628863946,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-147,572993.13,151380.78,121.589504,112.445504,100-HR-3-D,456.3292837023163,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-148,573361.48,151083.48,122.620688,110.42564,100-HR-3-D,928.3087842247419,2008-01-01,Hex. Chromium and Fil. Chromium
