Name,XCoords,YCoords,Distance,OU,System,Model,Lag,Analyte,Trend,Mean,UCL,LCL,STD,Mean_Exceed,UCL_Exceed,Trend_Break,Use_RiverStage,RiverStage_Coeff,RiverStage_Coeff_stderror,Date_Coeff,Date_Coeff_stderror,Intercept,Intercept_stderror,Transformation,N,PND
199-D5-141,573243.43,151424.51,608.5596206,100-HR-3-D,DX,Tobit,NA,Hex. & Filt. Chromium,NA,2.5,NA,NA,48,FALSE,NA,01/01/2011,NA,NA,NA,NA,NA,NA,NA,log,15,100%
199-D5-142,573791.87,151563.26,880.1578091,100-HR-3-D,DX,Tobit,54,Hex. & Filt. Chromium,Decreasing,1.486639552,2.370310469,0.932408301,48,FALSE,FALSE,01/01/2011,TRUE,0.041937419,0.137797426,-0.000570591,8.64E-05,6.862030944,16.84829307,log,33,15%
199-D5-143,573701.53,151784.26,649.6473956,100-HR-3-D,DX,Tobit,77,Hex. & Filt. Chromium,Decreasing,9.154264825,14.22557235,5.890839571,48,FALSE,FALSE,01/01/2011,TRUE,0.313933788,0.1375288,-0.000664062,8.52E-05,-21.19182661,17.06140131,log,32,0%
199-D5-145,573215.62,151396.28,607.6692971,100-HR-3-D,DX,Tobit,36,Hex. & Filt. Chromium,Decreasing,3.708268576,4.865579175,2.826232056,48,FALSE,FALSE,01/01/2011,TRUE,-0.07550147,0.078461033,-0.000896467,5.16E-05,27.96420011,9.616880308,log,68,0%
199-D5-146,573219.79,151345.59,645.4582629,100-HR-3-D,DX,Tobit,16,Hex. & Filt. Chromium,Not Significant,9.829218551,16.11280202,5.996073011,48,FALSE,FALSE,01/01/2011,TRUE,-0.337259591,0.196674989,-0.000603224,0.000523221,53.64332939,28.22196345,log,167,1%
199-D5-149,573327.62,151461.82,644.2678139,100-HR-3-D,NA,Tobit,31,Hex. & Filt. Chromium,Not Significant,12.76389733,47.25200142,3.447834379,48,FALSE,FALSE,NA,TRUE,-0.441429476,0.797490757,-0.001036863,0.001424036,74.68425519,101.0508108,log,33,0%
199-D5-15,573738.61,151673.75,760.0045637,100-HR-3-D,DX,Tobit,42,Hex. & Filt. Chromium,Decreasing,2.624276964,4.621587216,1.49014381,48,FALSE,FALSE,01/01/2011,TRUE,0.513492788,0.146759105,-0.000556481,9.63E-05,-47.86671738,18.08773831,log,42,2%
199-D5-150,573429.42,151401.85,759.4912754,100-HR-3-D,NA,Tobit,44,Hex. & Filt. Chromium,Decreasing,1.75002577,2.34379299,1.306681182,48,FALSE,FALSE,NA,TRUE,0.018873569,0.090927344,-0.000509022,8.77E-05,8.490215402,11.37589743,log,33,12%
199-D5-151,573312.03,151391.88,680.8699127,100-HR-3-D,NA,Tobit,66,Hex. & Filt. Chromium,Not Significant,37.57606781,44.8070051,31.5120564,48,FALSE,FALSE,NA,TRUE,-0.012719398,0.100851522,-0.000345788,0.000308706,11.99349213,14.55889759,log,48,0%
199-D5-152,573300.18,151349.1,701.5736031,100-HR-3-D,NA,Tobit,69,Hex. & Filt. Chromium,Decreasing,4.991694951,6.357737591,3.919164346,48,FALSE,FALSE,NA,TRUE,-0.051901546,0.083465297,-0.000243503,6.78E-05,12.50981551,10.42880922,log,38,3%
199-D5-153,573329.77,151992.82,258.3679855,100-HR-3-D,DX,Tobit,25,Hex. & Filt. Chromium,Decreasing,2.809173887,3.396654897,2.323302828,48,FALSE,FALSE,01/01/2011,TRUE,-0.151073066,0.061072976,-0.000976492,4.73E-05,38.09603438,7.411645791,log,134,2%
199-D5-154,573632.26,151831.74,569.8870077,100-HR-3-D,DX,Tobit,20,Hex. & Filt. Chromium,Decreasing,9.975921899,11.37753828,8.746972785,48,FALSE,FALSE,01/01/2011,TRUE,0.021452085,0.03935139,-0.00044843,3.22E-05,8.723749865,4.803941882,log,124,0%
199-D5-159,573474.25,151910.82,411.1859254,100-HR-3-D,DX,Tobit,18,Hex. & Filt. Chromium,Decreasing,9.590238868,10.85304778,8.47436438,48,FALSE,FALSE,01/01/2011,TRUE,-0.045773351,0.037640786,-0.000568832,3.26E-05,18.92455054,4.549610724,log,106,0%
199-D5-16,573917.45,151652.51,885.3466356,100-HR-3-D,DX,Tobit,64,Hex. & Filt. Chromium,Decreasing,4.476156618,7.262693344,2.758753141,48,FALSE,FALSE,01/01/2011,TRUE,0.027556295,0.126315021,-0.000587914,8.09E-05,9.987043297,15.64844854,log,40,0%
199-D5-160,573517.16,151429.17,804.6329691,100-HR-3-D,NA,Tobit,56,Hex. & Filt. Chromium,Decreasing,20.08553534,31.16829012,12.9435631,48,FALSE,FALSE,NA,TRUE,-0.178162216,0.166030342,-0.00073815,0.000140678,38.47923159,20.74211159,log,47,0%
199-D5-162,573596.21,151387.07,891.0432663,100-HR-3-D,NA,Tobit,NA,Hex. & Filt. Chromium,NA,2.5,NA,NA,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,9,78%
199-D5-163,573547.93,151350.27,881.1269536,100-HR-3-D,NA,Tobit,NA,Hex. & Filt. Chromium,NA,2.6775,NA,NA,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,9,78%
199-D5-17,573730.52,151322.83,1032.860689,100-HR-3-D,DX,Tobit,63,Hex. & Filt. Chromium,Decreasing,3.943242437,6.021153977,2.58242207,48,FALSE,FALSE,01/01/2011,TRUE,0.049919976,0.167311334,-0.000288976,8.34E-05,1.30071486,20.43239192,log,23,0%
199-D5-32,573372.04,151903.39,355.1109646,100-HR-3-D,DX,Tobit,14,Hex. & Filt. Chromium,Decreasing,10.74605948,13.74957667,8.398643611,48,FALSE,FALSE,01/01/2011,TRUE,-0.164071438,0.066105884,-0.000603204,4.42E-05,33.52544069,8.055668859,log,272,0%
199-D5-33,573095.03,151714.54,301.6823049,100-HR-3-D,DX,Tobit,25,Hex. & Filt. Chromium,Decreasing,0.259406997,2.510235522,0.026807042,48,FALSE,FALSE,01/01/2011,TRUE,-0.002722328,0.342529679,-0.000793863,0.000304298,14.77089868,42.25710956,log,41,49%
199-D5-34,573240.42,151554.12,517.5071617,100-HR-3-D,DX,Tobit,47,Hex. & Filt. Chromium,Decreasing,7.454200413,9.353688249,5.94044855,48,FALSE,FALSE,01/01/2011,TRUE,0.066374509,0.085124959,-0.000340253,0.000156228,1.038026838,11.02736997,log,255,0%
199-D5-36,572909.823,151746.32,145.0679364,100-HR-3-D,DX,Tobit,16,Hex. & Filt. Chromium,Decreasing,1.67334311,3.492338755,0.801777079,48,FALSE,FALSE,01/01/2011,TRUE,-0.038028135,0.165275911,-0.00032596,0.000117426,11.44037423,20.41640687,log,42,31%
199-D5-37,573092.236,151916.365,161.2761266,100-HR-3-D,DX,Tobit,9,Hex. & Filt. Chromium,Not Significant,4.028018824,6.328151571,2.563929683,48,FALSE,FALSE,01/01/2011,TRUE,-0.073867794,0.147524656,-0.000176117,7.68E-05,13.51808016,18.09531351,log,42,5%
199-D5-38,572996.824,151545.593,346.0218099,100-HR-3-D,DX,Tobit,39,Hex. & Filt. Chromium,Decreasing,3.814711793,6.486494433,2.243434602,48,FALSE,FALSE,01/01/2011,TRUE,-0.552277843,0.163993813,-0.000237623,9.45E-05,70.5034711,20.16453151,log,55,11%
199-D5-39,573142.858,151428.428,532.6596397,100-HR-3-D,DX,Tobit,1,Hex. & Filt. Chromium,Not Significant,5.369802789,7.806308936,3.693779254,48,FALSE,FALSE,01/01/2011,TRUE,-0.303621572,0.141983174,5.59E-06,0.000175227,36.99596547,17.32229573,log,360,1%
199-D5-41,573358.16,151792.191,435.1124918,100-HR-3-D,DX,Tobit,23,Hex. & Filt. Chromium,Increasing,25.89233843,63.18442778,10.61041799,48,FALSE,TRUE,01/01/2011,TRUE,0.592966568,0.400491639,0.000948612,0.000205088,-84.81162564,47.95258707,log,27,26%
199-D5-42,573479.771,151622.674,643.6502959,100-HR-3-D,DX,Tobit,NA,Hex. & Filt. Chromium,NA,2.5,NA,NA,48,FALSE,NA,01/01/2011,NA,NA,NA,NA,NA,NA,NA,log,18,78%
199-D5-43,573179.976,151269.43,668.6903873,100-HR-3-D,DX,Tobit,48,Hex. & Filt. Chromium,Decreasing,0.649411122,1.513339146,0.278678316,48,FALSE,FALSE,01/01/2011,TRUE,0.216181707,0.21851612,-0.000996314,0.00015119,-5.820520624,27.32439554,log,58,7%
199-D5-44,572993.581,151835.736,144.7375133,100-HR-3-D,DX,Tobit,2,Hex. & Filt. Chromium,Increasing,30.98168766,42.99535604,22.32485223,48,FALSE,FALSE,01/01/2011,TRUE,-0.079411673,0.167512179,0.000727587,0.000114949,-1.784210097,20.25278521,log,24,21%
199-D5-92,573131.93,152009.82,124.8752028,100-HR-3-D,DX,Tobit,9,Hex. & Filt. Chromium,Decreasing,2.879133923,3.707724925,2.235713898,48,FALSE,FALSE,01/01/2011,TRUE,-0.580013771,0.065674709,-0.000487475,4.72E-05,78.43814661,8.040539241,log,320,4%
