KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
199-D4-1__ITER1,199-D4-1,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,4,0.001407579,12,37.23995403,38.78513148,1,46.00535665,37.81252537,48.37172274,46.77794537,38.5851141,49.14431146,NA,NA,153.8605398,-1.346688723,0.000417817,-0.178925816,0.000400229,0.105462462,4,4,INTERP+EVENT,TRUE
199-D4-1__ITER2,199-D4-1,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,4,0.001263791,3,9.438805932,9.33062623,0.614244566,8.464081703,20.56928733,20.78608471,8.409991852,20.51519747,20.73199486,NA,NA,-7.619405519,0.146430875,-0.000370615,-1.938621582,0.293353894,4.99E-10,4,4,INTERP+EVENT,TRUE
199-D4-101__ITER1,199-D4-101,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,32,0,69,130.5323932,135.113312,1,144.5585673,195.7063006,214.8217904,146.8490267,197.9967601,217.1122499,NA,NA,-25.30540626,0.350949118,-0.000778077,-0.509126738,2.27E-05,1.76E-22,4,4,INTERP+EVENT,TRUE
199-D4-102__ITER1,199-D4-102,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,22,8.35E-07,5,1.964740994,2.359190149,1,9.938307562,27.05357836,27.95760435,10.13553214,27.25080294,28.15482893,NA,NA,39.95684332,0.510590818,-0.005622236,-1.395096913,5.01E-06,9.29E-31,4,4,INTERP+EVENT,TRUE
199-D4-102__ITER2,199-D4-102,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,22,0.093197556,4,15.87017023,16.02905331,1,17.24032829,18.41822012,18.61623779,17.31976983,18.49766166,18.69567933,NA,NA,-60.00556547,0.435011972,0.000523987,-1.528252535,0.0743593,0.008620158,4,4,INTERP+EVENT,TRUE
199-D4-103__ITER1,199-D4-103,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,55,0.13558047,9,38.36051973,39.49041845,0.867016778,40.34717382,38.07512583,40.35689961,40.91212318,38.64007519,40.92184897,NA,NA,-67.53884514,0.533769854,0.000348448,-0.349216821,0.030875572,0.182721439,4,4,INTERP+EVENT,TRUE
199-D4-13__ITER1,199-D4-13,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-13__ITER2,199-D4-13,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-14__ITER1,199-D4-14,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,21,0.26903995,7,33.15980683,33.95559737,0.483343034,33.71661883,31.7057495,33.78559762,34.11451411,32.10364478,34.1834929,NA,NA,133.7799934,-0.992401972,-0.0009804,0.177864067,0.090472544,0.453958899,4,4,INTERP+EVENT,TRUE
199-D4-14__ITER2,199-D4-14,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,21,2.24E-05,162,464.2826236,470.5065992,1,481.7963603,470.2976426,483.6973391,484.9083481,473.4096303,486.8093268,NA,NA,42.89608657,-0.327086767,-0.000129885,-0.326722214,5.53E-06,0.004032438,4,4,INTERP+EVENT,TRUE
199-D4-19__ITER1,199-D4-19,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-19__ITER2,199-D4-19,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,11,4.99E-05,24,54.12683292,56.79124194,1,71.81045132,62.15527732,71.93878041,73.14265583,63.48748183,73.27098492,NA,NA,-165.6614894,1.337139681,0.00056401,-0.188465972,5.21E-05,0.005370541,4,4,INTERP+EVENT,TRUE
199-D4-22__ITER1,199-D4-22,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,21,0.092477576,5,23.71926811,24.11371726,1,25.71017587,24.02632531,26.48084628,25.90740044,24.22354989,26.67807085,NA,NA,51.77228412,-0.336928159,-0.000376138,-1.673972536,0.025020913,0.104879918,4,4,INTERP+EVENT,TRUE
199-D4-22__ITER2,199-D4-22,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,21,7.45E-08,24,49.6179767,52.28238572,0.654093214,48.76896588,72.20024194,80.44226382,50.10117039,73.53244645,81.77446833,NA,NA,48.4877114,-0.249156873,-0.000888675,-0.291895111,0.278381691,3.51E-10,4,4,INTERP+EVENT,TRUE
199-D4-23__ITER1,199-D4-23,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,1,0.513506744,6,29.99218127,30.59735146,0.421855539,29.32467162,28.26599658,29.32516551,29.62725671,28.56858167,29.6277506,NA,NA,-18.93837728,0.164511819,0.000199156,-1.251884064,0.232525639,0.598279574,4,4,INTERP+EVENT,TRUE
199-D4-23__ITER2,199-D4-23,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-27__ITER1,199-D4-27,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,27,2.31E-05,23,62.60835109,65.20002482,1,79.75731263,70.86704105,81.9610241,81.05314949,72.16287791,83.25686097,NA,NA,250.7942985,-1.731119252,-0.002963326,-0.015991869,1.21E-07,0.000469406,4,4,INTERP+EVENT,TRUE
