KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp,p_event,AIC_py,BIC_py,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma,WELL_r,ITER_r,CLASS,p_trend_r,AIC_r,BIC_r,LAG_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff
199-D4-85__ITER2,199-D4-85,2,8.0,ULAG,,,,,,,169,5,INTERP+EVENT,False,,,,,199-D4-85,2.0,Trend_Summary,0.0865682851662133,INTERP + EVENT,INTERP + EVENT,8.0,both,0.0,,,
199-D4-86__ITER1,199-D4-86,1,8.0,ULAG,0.9880120128345017,0.9562431308443577,1.0,26.67889568613714,26.83777876949681,-11.33944784306857,8,0,INTERP+EVENT,True,4.148129858418032,-0.014053614803995258,0.0,0.23304628029079175,199-D4-86,1.0,Trend_Summary,0.0701478847354855,INTERP + EVENT,INTERP + EVENT,8.0,both,0.0,0.9178641280990162,,
199-D4-86__ITER2,199-D4-86,2,8.0,ULAG,0.006386285457359198,0.0011286233700448316,1.0,87.80146746390729,90.66944187287758,-41.90073373195364,31,7,INTERP+EVENT,True,53.90803899657647,-0.4456386087404206,0.0,0.6441362421088709,199-D4-86,2.0,Trend_Summary,8.43889380524043e-05,INTERP + EVENT,INTERP + EVENT,8.0,both,0.0,0.006301896519306793,,
199-D4-95__ITER1,199-D4-95,1,,NONE,,,,,,,61,0,INTERP+EVENT,False,,,,,199-D4-95,1.0,Trend_Summary,0.0,INTERP + EVENT,INTERP + EVENT,37.0,both,,,,
199-D4-95__ITER2,199-D4-95,2,,NONE,,,,,,,86,1,INTERP+EVENT,False,,,,,199-D4-95,2.0,Trend_Summary,0.0067961972170921,INTERP + EVENT,INTERP + EVENT,8.0,both,,,,
199-D4-95__ITER3,199-D4-95,3,,NONE,,,,,,,46,0,INTERP+EVENT,False,,,,,199-D4-95,3.0,Trend_Summary,7.59010856343778e-05,INTERP + EVENT,INTERP + EVENT,57.0,both,,,,
199-D4-96__ITER1,199-D4-96,1,,NONE,,,,,,,113,2,INTERP+EVENT,False,,,,,199-D4-96,1.0,Trend_Summary,0.0,INTERP + EVENT,INTERP + EVENT,15.0,both,,,,
199-D4-96__ITER2,199-D4-96,2,,NONE,,,,,,,68,1,INTERP+EVENT,False,,,,,199-D4-96,2.0,Trend_Summary,0.0551209559864532,INTERP + EVENT,INTERP + EVENT,10.0,both,,,,
199-D4-97__ITER1,199-D4-97,1,,NONE,,,,,,,129,0,INTERP+EVENT,False,,,,,199-D4-97,1.0,Trend_Summary,0.0,INTERP + EVENT,INTERP + EVENT,64.0,both,,,,
199-D4-97__ITER2,199-D4-97,2,,NONE,,,,,,,58,6,INTERP+EVENT,False,,,,,199-D4-97,2.0,Trend_Summary,0.113208949339839,INTERP + EVENT,INTERP + EVENT,48.0,both,,,,
