"KEY","WELL","ITER","CLASS","p_trend","AIC","BIC","LAG"
"199-D5-17__ITER1","199-D5-17","1","Trend_Summary",NA,NA,NA,NA
"199-D5-17__ITER2","199-D5-17","2","Trend_Summary","0.00196753363093649","INTERP + EVENT","INTERP + EVENT","63"
"199-D5-32__ITER1","199-D5-32","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","39"
"199-D5-32__ITER2","199-D5-32","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","14"
"199-D5-33__ITER1","199-D5-33","1","Trend_Summary",NA,NA,NA,NA
"199-D5-33__ITER2","199-D5-33","2","Trend_Summary","0.00197745094132873","INTERP + EVENT","INTERP + EVENT","25"
"199-D5-34__ITER1","199-D5-34","1","Trend_Summary","0.000153700590312278","INTERP + EVENT","INTERP + EVENT","47"
"199-D5-34__ITER2","199-D5-34","2","Trend_Summary","1.11181233986013e-06","INTERP + EVENT","INTERP + EVENT","47"
"199-D5-34__ITER3","199-D5-34","3","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","47"
"199-D5-34__ITER4","199-D5-34","4","Trend_Summary","0.049859101681036","INTERP + EVENT","INTERP + EVENT","47"
"199-D5-36__ITER1","199-D5-36","1","Trend_Summary","0.753884885378197","INTERP + EVENT","INTERP + EVENT","16"
"199-D5-36__ITER2","199-D5-36","2","Trend_Summary","0.00942797306796506","INTERP + EVENT","INTERP + EVENT","16"
"199-D5-37__ITER1","199-D5-37","1","Trend_Summary","0.977119494818558","INTERP + EVENT","INTERP + EVENT","9"
"199-D5-37__ITER2","199-D5-37","2","Trend_Summary","0.0579356412047508","INTERP + EVENT","INTERP + EVENT","9"
"199-D5-38__ITER1","199-D5-38","1","Trend_Summary","1.04293337288563e-06","INTERP + EVENT","INTERP + EVENT","39"
"199-D5-38__ITER2","199-D5-38","2","Trend_Summary","0.00567936474687425","INTERP + EVENT","INTERP + EVENT","39"
"199-D5-39__ITER1","199-D5-39","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","32"
"199-D5-39__ITER2","199-D5-39","2","Trend_Summary",NA,NA,NA,"68"
"199-D5-39__ITER3","199-D5-39","3","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","62"
"199-D5-39__ITER4","199-D5-39","4","Trend_Summary","0.107215431913857","INTERP + EVENT","INTERP + EVENT","1"
"199-D5-41__ITER1","199-D5-41","1","Trend_Summary","0.0509529779072899","INTERP + EVENT","INTERP + EVENT","23"
"199-D5-41__ITER2","199-D5-41","2","Trend_Summary","0.000819061241058905","INTERP + EVENT","INTERP + EVENT","23"
"199-D5-42__ITER1","199-D5-42","1","Trend_Summary",NA,NA,NA,NA
"199-D5-43__ITER1","199-D5-43","1","Trend_Summary","0.000183575821506188","INTERP + EVENT","INTERP + EVENT","48"
"199-D5-43__ITER2","199-D5-43","2","Trend_Summary","4.20382617605242e-11","INTERP + EVENT","INTERP + EVENT","48"
"199-D5-44__ITER1","199-D5-44","1","Trend_Summary","0.00374541037066023","INTERP + EVENT","INTERP + EVENT","2"
"199-D5-44__ITER2","199-D5-44","2","Trend_Summary","2.33561140632332e-05","INTERP + EVENT","INTERP + EVENT","2"
"199-D5-92__ITER1","199-D5-92","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","22"
"199-D5-92__ITER2","199-D5-92","2","Trend_Summary",NA,NA,NA,"38"
"199-D5-92__ITER3","199-D5-92","3","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","9"
"199-D5-97__ITER1","199-D5-97","1","Trend_Summary","0.0400513626835511","INTERP + EVENT","INTERP + EVENT","61"
"199-D5-97__ITER2","199-D5-97","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","61"
"199-D7-3__ITER1","199-D7-3","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","22"
"199-D7-3__ITER2","199-D7-3","2","Trend_Summary","0.143203758081613","INTERP + EVENT","INTERP + EVENT","19"
"199-D7-7__ITER1","199-D7-7","1","Trend_Summary","0.00227099527051566","EVENT","EVENT","0"
"199-D8-101__ITER1","199-D8-101","1","Trend_Summary","3.0339018852743e-08","INTERP + EVENT","INTERP + EVENT","8"
"199-D8-102__ITER1","199-D8-102","1","Trend_Summary","0.0204765238574894","INTERP + EVENT","INTERP + EVENT","41"
"199-D8-4__ITER1","199-D8-4","1","Trend_Summary",NA,NA,NA,NA
"199-D8-4__ITER2","199-D8-4","2","Trend_Summary","2.22044604925031e-16","INTERP + EVENT","INTERP + EVENT","7"
"199-D8-5__ITER1","199-D8-5","1","Trend_Summary","0.0530411359382622","INTERP + EVENT","INTERP + EVENT","7"
"199-D8-5__ITER2","199-D8-5","2","Trend_Summary","0.000111725016337383","INTERP + EVENT","INTERP + EVENT","7"
"199-D8-53__ITER1","199-D8-53","1","Trend_Summary","3.4995654707437e-08","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-53__ITER2","199-D8-53","2","Trend_Summary","0.000143306937952503","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-54A__ITER1","199-D8-54A","1","Trend_Summary","2.70444718986074e-06","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-54A__ITER2","199-D8-54A","2","Trend_Summary","0.00211900367547424","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-54B__ITER1","199-D8-54B","1","Trend_Summary",NA,NA,NA,NA
"199-D8-54B__ITER2","199-D8-54B","2","Trend_Summary","4.96279158807011e-05","EVENT","EVENT","0"
"199-D8-6__ITER1","199-D8-6","1","Trend_Summary","0.0348069812902491","INTERP + EVENT","INTERP + EVENT","12"
"199-D8-6__ITER2","199-D8-6","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","12"
"199-D8-69__ITER1","199-D8-69","1","Trend_Summary","0.0035246684720619","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-69__ITER2","199-D8-69","2","Trend_Summary","1.21014309684142e-14","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-70__ITER1","199-D8-70","1","Trend_Summary","0.0652842876859334","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-70__ITER2","199-D8-70","2","Trend_Summary","7.45261031889211e-05","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-70__ITER3","199-D8-70","3","Trend_Summary","5.24834362777282e-05","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-71__ITER1","199-D8-71","1","Trend_Summary",NA,NA,NA,NA
"199-D8-71__ITER2","199-D8-71","2","Trend_Summary","1.54511200924912e-05","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-72__ITER1","199-D8-72","1","Trend_Summary","3.00508924611087e-06","INTERP + EVENT","INTERP + EVENT","2"
"199-D8-72__ITER2","199-D8-72","2","Trend_Summary","7.67709317228693e-08","INTERP + EVENT","INTERP + EVENT","2"
"199-D8-73__ITER1","199-D8-73","1","Trend_Summary","0.000896524179776592","INTERP + EVENT","INTERP + EVENT","18"
"199-D8-73__ITER2","199-D8-73","2","Trend_Summary","1.11615716669178e-10","INTERP + EVENT","INTERP + EVENT","18"
"199-D8-73__ITER3","199-D8-73","3","Trend_Summary","0.559267990138708","INTERP + EVENT","INTERP + EVENT","18"
"199-D8-88__ITER1","199-D8-88","1","Trend_Summary","0.0188602999332472","INTERP + EVENT","INTERP + EVENT","8"
"199-D8-88__ITER2","199-D8-88","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","8"
"199-D8-88__ITER3","199-D8-88","3","Trend_Summary","0.600704410993758","INTERP + EVENT","INTERP + EVENT","8"
"199-D8-89__ITER1","199-D8-89","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","10"
"199-D8-90__ITER1","199-D8-90","1","Trend_Summary","3.33066907387547e-16","INTERP + EVENT","INTERP + EVENT","70"
"199-D8-90__ITER2","199-D8-90","2","Trend_Summary","0.0761280167298672","INTERP + EVENT","INTERP + EVENT","66"
"199-D8-91__ITER1","199-D8-91","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","2"
"199-D8-91__ITER2","199-D8-91","2","Trend_Summary","0.192376260275713","INTERP + EVENT","INTERP + EVENT","2"
"199-D8-93__ITER1","199-D8-93","1","Trend_Summary","0.0608789564042709","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-94__ITER1","199-D8-94","1","Trend_Summary","0.00726273315034076","INTERP + EVENT","INTERP + EVENT","1"
"199-D8-95__ITER1","199-D8-95","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","19"
"199-D8-96__ITER1","199-D8-96","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","18"
"199-D8-97__ITER1","199-D8-97","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","11"
"199-D8-98__ITER1","199-D8-98","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","19"
"199-D8-99__ITER1","199-D8-99","1","Trend_Summary","5.10347604977257e-05","INTERP + EVENT","INTERP + EVENT","28"
"199-H1-1__ITER1","199-H1-1","1","Trend_Summary",NA,NA,NA,NA
"199-H1-1__ITER2","199-H1-1","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","34"
"199-H1-2__ITER1","199-H1-2","1","Trend_Summary",NA,NA,NA,NA
"199-H1-2__ITER2","199-H1-2","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","30"
