KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp_py,p_event_py,AIC_py,BIC_py,logLik_py,n_obs_py,n_cens,model_type_py,fit_ok_py,beta_intercept_py,beta_interp_py,beta_event_py,sigma,WELL_r,ITER_r,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG_r,p_trend_r,df,AIC_r,BIC_r,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik_r,n_obs_r,beta_intercept_r,beta_interp_r,beta_event_r,beta_logSigma,p_interp_r,p_event_r,SUM_rows,SUM_cols,model_type_r,fit_ok_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff,logLik_diff,beta_intercept_diff,beta_interp_diff,beta_event_diff,p_interp_diff,p_event_diff,n_obs_diff
199-D4-102__ITER1,199-D4-102,1,22.0,ULAG,6.470239444444914e-06,0.003934577096673062,1.834502280414845e-15,6.8854907187634975,7.279939873435937,-1.4427453593817487,9,2,INTERP+EVENT,True,-28.426023622140516,0.4293572496852545,-0.005705852612136422,0.3375630306975248,199-D4-102,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,22.0,8.34501180602132e-07,5.0,1.96474099427227,2.35919014894471,1.0,9.9383075620663,27.0535783620627,27.957604352599,10.1355321394025,27.250802939399,28.1548289299352,,,39.9568433248008,0.510590818122839,-0.0056222360886364,-1.39509691340774,5.01099845767421e-06,9.294965253749911e-31,4.0,4.0,INTERP+EVENT,True,both,0.0,5.635738263842782e-06,4.920749724491228,4.920749724491227,,-68.38286694694132,-0.0812335684375845,-8.361652350002188e-05,0.003929566098215388,1.8345022804148443e-15,
199-D4-102__ITER2,199-D4-102,2,22.0,ULAG,0.0034553377831932908,0.0018347605384526609,0.00013943619169982005,9.814693240380507,9.973576323740179,-2.907346620190254,8,4,INTERP+EVENT,True,-57.7988906036156,0.497988882578172,0.00041192768574745044,0.12883352937200826,199-D4-102,2.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,22.0,0.0931975558736839,4.0,15.8701702256708,16.0290533090304,1.0,17.2403282893446,18.4182201225086,18.6162377900023,17.3197698310245,18.4976616641884,18.6956793316821,,,-60.0055654749313,0.435011972024519,0.000523986798242,-1.52825253523565,0.0743593000748361,0.0086201580730539,4.0,4.0,INTERP+EVENT,True,both,0.0,-0.08974221809049061,-6.0554769852902925,-6.05547698529022,,2.2066748713157054,0.06297691055365295,-0.00011205911249454956,-0.07252453953638344,-0.00848072188135408,
199-D4-103__ITER1,199-D4-103,1,55.0,ULAG,0.4087324274167069,0.1715748897471684,0.42345496894965795,41.36793759008415,42.497836305007226,-18.683968795042077,13,3,INTERP+EVENT,True,-48.946248955350754,0.42097423646183535,0.0002230983067396811,0.7842306430938364,199-D4-103,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,55.0,0.135580470242915,9.0,38.360519733586,39.4904184485091,0.867016777714196,40.347173822827,38.0751258317246,40.3568996107973,40.9121231802885,38.6400751891861,40.9218489682589,,,-67.5388451375119,0.533769853821687,0.0003484476387466,-0.34921682124525,0.0308755716157714,0.18272143879362,4.0,4.0,INTERP+EVENT,True,both,0.0,0.2731519571737919,3.007417856498151,3.0074178564981295,,18.592596182161145,-0.11279561735985161,-0.0001253493320069189,0.140699318131397,0.24073353015603796,
199-D4-13__ITER1,199-D4-13,1,20.0,ULAG,,,,,,,17,10,INTERP+EVENT,False,,,,,199-D4-13,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D4-13__ITER2,199-D4-13,2,20.0,ULAG,,,,,,,6,0,INTERP+EVENT,False,,,,,199-D4-13,2.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D4-14__ITER1,199-D4-14,1,21.0,ULAG,0.12169016332273586,0.026878114329973522,0.2371700875926489,32.526145203834744,33.32193574943149,-14.263072601917374,11,1,INTERP+EVENT,True,164.38928623561907,-1.3646667976764768,-0.0015395016748602059,1.1095719948563556,199-D4-14,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,21.0,0.269039949507689,7.0,33.1598068263655,33.9555973719622,0.483343034213385,33.7166188344766,31.705749503064,33.7855976248175,34.114514107275,32.1036447758624,34.1834928976159,,,133.779993370451,-0.992401972102608,-0.0009803996654808,0.177864066721157,0.0904725435701392,0.453958898636294,4.0,4.0,INTERP+EVENT,True,both,0.0,-0.14734978618495315,-0.6336616225307523,-0.6336616225307097,,30.609292865168072,-0.37226482557386875,-0.0005591020093794058,-0.06359442924016567,-0.2167888110436451,
199-D4-14__ITER2,199-D4-14,2,21.0,ULAG,,,,,,,166,6,INTERP+EVENT,False,,,,,199-D4-14,2.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,21.0,2.23796676949162e-05,162.0,464.282623649176,470.506599225889,1.0,481.796360271641,470.29764255509,483.697339056173,484.908348059997,473.409630343447,486.80932684453,,,42.8960865730238,-0.327086767138949,-0.0001298845349326,-0.326722214115889,5.53320921144726e-06,0.004032437999139,4.0,4.0,INTERP+EVENT,True,both,0.0,,,,,,,,,,
199-D4-19__ITER1,199-D4-19,1,11.0,ULAG,,,,,,,9,8,INTERP+EVENT,False,,,,,199-D4-19,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D4-19__ITER2,199-D4-19,2,11.0,ULAG,0.0001947062401119748,8.91537872085708e-05,0.008207746643056653,57.35989023492666,60.024299255277064,-26.67994511746333,28,14,INTERP+EVENT,True,-151.0371702025624,1.284184073647982,0.0005490371994516154,0.8861257175644162,199-D4-19,2.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,11.0,4.98758446958458e-05,24.0,54.1268329156896,56.79124193604,1.0,71.8104513247117,62.1552773167645,71.9387804089708,73.1426558348869,63.4874818269397,73.270984919146,,,-165.661489386342,1.33713968050908,0.0005640097466013,-0.188465972250443,5.20813139749451e-05,0.0053705411818605,4.0,4.0,INTERP+EVENT,True,both,0.0,0.000144830395416129,3.233057319237062,3.233057319237062,,14.62431918377959,-0.052955606861098126,-1.4972547149684533e-05,3.7072473233625694e-05,0.002837205461196153,
199-D4-1__ITER1,199-D4-1,1,4.0,ULAG,0.002875470545074199,0.0009799967394739483,0.37670721464077606,39.31403004944417,40.85920749392373,-17.657015024722085,16,6,INTERP+EVENT,True,137.79523126628635,-1.1601067687099196,0.00026376198332434334,0.8541065140578264,199-D4-1,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,4.0,0.0014075786045021,12.0,37.2399540333812,38.7851314778608,1.0,46.005356652339,37.8125253736082,48.3717227386145,46.7779453745788,38.585114095848,49.1443114608543,,,153.860539814301,-1.34668872280697,0.000417816956618,-0.178925815985494,0.0004002285880302,0.105462462373625,4.0,4.0,INTERP+EVENT,True,both,0.0,0.0014678919405720992,2.0740760160629677,2.074076016062932,,-16.065308548014656,0.18658195409705036,-0.00015405497329365665,0.0005797681514437484,0.27124475226715106,
