"KEY","WELL","ITER","CLASS","IS_S4","SLOT_NAMES","p_trend_raw","AIC_raw","BIC_raw","logLik_raw","df_raw","LAG_raw","COD_raw","sigma_raw","p_trend","AIC","BIC","logLik","df","LAG","sigma","model_type","fit_ok","fail_reason","SUM_rows","SUM_cols","SUM_row_names","SUM_col_names","beta_intercept","beta_interp","beta_event","se_intercept","se_interp","se_event","p_interp","p_event"
"199-H4-94__ITER1","199-H4-94",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-95__ITER1","199-H4-95",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-H5-16__ITER1","199-H5-16",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","7.5091456131271e-05","INTERP + EVENT","INTERP + EVENT",NA,"107","31","0.0619258647171523",NA,7.5091456131271e-05,NA,NA,NA,107,31,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",15.422346400856,-0.0797434397243446,-0.000215077328901271,5.91117509959625,0.0486094487258683,4.7406882851102e-05,NA,NA
"199-H5-1A__ITER1","199-H5-1A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","1.13362796825278e-05","INTERP + EVENT","INTERP + EVENT",NA,"5","62","-0.324864187478017",NA,1.13362796825278e-05,NA,NA,NA,5,62,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-16.5009070955039,-0.0240797498960042,0.00150942385797291,9.57401185979102,0.0877950076215241,0.000155587252573062,NA,NA
"199-H5-1A__ITER2","199-H5-1A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.00605774138831705","INTERP + EVENT","INTERP + EVENT",NA,"22","62","0.1497176719972",NA,0.00605774138831705,NA,NA,NA,22,62,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",23.7142103915103,-0.118197874770658,-0.000491966403814449,31.0275268454504,0.251288521829077,0.00016931128573908,NA,NA
"199-H6-3__ITER1","199-H6-3",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.0210648118726399","INTERP + EVENT","INTERP + EVENT",NA,"15","34","0.122961122877296",NA,0.0210648118726399,NA,NA,NA,15,34,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",40.5710442614927,-0.259427126078041,-0.000526415490530096,33.6524973584164,0.281686981467849,0.000167804294508137,NA,NA
"199-H6-9__ITER1","199-H6-9",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.558081300280916","EVENT","EVENT",NA,"5","0",NA,NA,0.558081300280916,NA,NA,NA,5,0,NA,"EVENT",TRUE,NA,3,4,"(Intercept) | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-17.9370249389122,NA,0.00106867544189213,35.5817465645969,NA,0.00180414364999198,NA,NA
"199-H7-1__ITER1","199-H7-1",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.00111822291142027","EVENT","EVENT",NA,"9","0",NA,NA,0.00111822291142027,NA,NA,NA,9,0,NA,"EVENT",TRUE,NA,3,4,"(Intercept) | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-12.8559435062132,NA,0.000722205499459414,2.8094999679361,NA,0.00014840265865043,NA,NA
"199-K-107A__ITER1","199-K-107A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-K-107A__ITER2","199-K-107A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.000341898604838797","INTERP + EVENT","INTERP + EVENT",NA,"15","11","0.265381107864406",NA,0.000341898604838797,NA,NA,NA,15,11,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",22.6096844766611,-0.103546228538022,-0.000491954202797514,10.6228948649415,0.0936493370041607,0.000116845212441372,NA,NA
"199-K-107A__ITER3","199-K-107A",3,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.00102116810807618","INTERP + EVENT","INTERP + EVENT",NA,"10","11","0.264193099716636",NA,0.00102116810807618,NA,NA,NA,10,11,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-11.4359656236986,0.000790042209274667,0.00078192304622196,3.52742108216933,0.0240326148230228,0.000166294815862816,NA,NA
"199-K-107A__ITER4","199-K-107A",4,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.163309025885504","INTERP + EVENT","INTERP + EVENT",NA,"19","11","0.0317434997136112",NA,0.163309025885504,NA,NA,NA,19,11,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",2.05336164688082,0.0280966378966718,-0.000177389789636648,9.47821147418271,0.0739804410216697,0.00010078182875079,NA,NA
"199-K-108A__ITER1","199-K-108A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.317737966641407","INTERP + EVENT","INTERP + EVENT",NA,"13","20","0.0476416383956792",NA,0.317737966641407,NA,NA,NA,13,20,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-10.1872248846968,-0.0257459008246707,0.00125940424547678,18.220744184495,0.115081144609983,0.000816901536517026,NA,NA
"199-K-108A__ITER2","199-K-108A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-K-108A__ITER3","199-K-108A",3,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.0399025072832226","INTERP + EVENT","INTERP + EVENT",NA,"32","20","0.182578558820406",NA,0.0399025072832226,NA,NA,NA,32,20,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",23.6732751749466,-0.209778162155205,0.000151277088679213,10.3298457991184,0.0875425728088965,0.000132189929299567,NA,NA
"199-K-108A__ITER4","199-K-108A",4,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-K-108A__ITER5","199-K-108A",5,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.000139268557688532","INTERP + EVENT","INTERP + EVENT",NA,"19","20","0.229493017333175",NA,0.000139268557688532,NA,NA,NA,19,20,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-39.7082817293555,0.230357335086723,0.000766480954420284,13.1752570408109,0.0998246617562201,0.00014832245930669,NA,NA
"199-K-11__ITER1","199-K-11",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-K-11__ITER2","199-K-11",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.00734588460692887","INTERP + EVENT","INTERP + EVENT",NA,"5","12","0.978505263965724",NA,0.00734588460692887,NA,NA,NA,5,12,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-96.8141036333379,0.813497822810076,0.000140037110101671,25.3282934621765,0.209539790248709,0.000238171902683454,NA,NA
"199-K-11__ITER3","199-K-11",3,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-K-11__ITER4","199-K-11",4,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.0072199416469706","INTERP + EVENT","INTERP + EVENT",NA,"11","12","0.764525663852944",NA,0.0072199416469706,NA,NA,NA,11,12,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-12.8381902331598,0.114486356860732,3.50462303392492e-05,4.16570387269064,0.0308414408649318,6.23315220332875e-05,NA,NA
"199-K-111A__ITER1","199-K-111A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","1.5101775385773e-10","INTERP + EVENT","INTERP + EVENT",NA,"19","42","0.328297000608724",NA,1.5101775385773e-10,NA,NA,NA,19,42,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-21.0291211513277,0.0275667338184433,0.00147275778414385,7.99714564993482,0.0668723314911256,0.00012395867897066,NA,NA
"199-K-111A__ITER2","199-K-111A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.0359800387759509","INTERP + EVENT","INTERP + EVENT",NA,"15","42","-0.178788903918311",NA,0.0359800387759509,NA,NA,NA,15,42,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",14.1275965196092,-0.0278097620882346,-0.000298772649960832,6.93415460520719,0.0543037354216193,0.000106002540896948,NA,NA
"199-K-111A__ITER3","199-K-111A",3,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","3.91893073548033e-10","INTERP + EVENT","INTERP + EVENT",NA,"13","42","-0.381890563330007",NA,3.91893073548033e-10,NA,NA,NA,13,42,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",24.2663386378106,0.176313022802401,-0.00216704791119022,11.5021113835578,0.0934910684347454,0.000155028726777895,NA,NA
"199-K-113A__ITER1","199-K-113A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","5.1296540098944e-06","INTERP + EVENT","INTERP + EVENT",NA,"11","1","-0.829573399405936",NA,5.1296540098944e-06,NA,NA,NA,11,1,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",92.0022027759331,-0.696493273859054,-0.000437462204205382,16.3128359020379,0.0892896335927841,0.000787642095167985,NA,NA
"199-K-113A__ITER2","199-K-113A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","5.60782087433154e-09","INTERP + EVENT","INTERP + EVENT",NA,"217","1","-0.320042179117951",NA,5.60782087433154e-09,NA,NA,NA,217,1,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",46.0720412562917,-0.388847651886637,6.62038016415287e-05,8.05869545282835,0.0670428561778584,3.97435098620098e-05,NA,NA
"199-K-114A__ITER1","199-K-114A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","3.7603156921584e-06","INTERP + EVENT","INTERP + EVENT",NA,"11","0",NA,NA,3.7603156921584e-06,NA,NA,NA,11,0,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",164.354503538042,-1.02897708283453,-0.00280300462697356,23.1998269772028,0.129891837287252,0.00105249321561127,NA,NA
"199-K-114A__ITER2","199-K-114A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","6.72338370277803e-06","INTERP + EVENT","INTERP + EVENT",NA,"219","0",NA,NA,6.72338370277803e-06,NA,NA,NA,219,0,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",47.1645979733396,-0.386430681338681,-3.82913243928903e-05,9.25735755832418,0.0768392393353344,4.52039030070038e-05,NA,NA
"199-K-115A__ITER1","199-K-115A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.00432653890733004","INTERP + EVENT","INTERP + EVENT",NA,"11","16","-0.826416341608722",NA,0.00432653890733004,NA,NA,NA,11,16,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",41.5306975194579,-0.329461679684594,0.000115041668794056,14.7160501225669,0.0836769972675991,0.000683258591048641,NA,NA
"199-K-115A__ITER2","199-K-115A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0","INTERP + EVENT","INTERP + EVENT",NA,"231","16","-0.504262508860502",NA,0,NA,NA,NA,231,16,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",68.3182422047547,-0.501690613496261,-0.00042097766035017,6.96614415426598,0.057125028772719,4.31149904853774e-05,NA,NA
"199-K-116A__ITER1","199-K-116A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.00018213860546723","INTERP + EVENT","INTERP + EVENT",NA,"10","2","-0.868319962062947",NA,0.00018213860546723,NA,NA,NA,10,2,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",34.3489705917587,-0.228176524853617,-0.000251075405655775,7.70278832406662,0.0391935393850752,0.000396986284720138,NA,NA
"199-K-116A__ITER2","199-K-116A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0","INTERP + EVENT","INTERP + EVENT",NA,"222","2","-0.305523376307397",NA,0,NA,NA,NA,222,2,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",23.0791120620382,-0.122788390385826,-0.000420784652870884,4.60090717069945,0.0376558083068281,3.00519047154443e-05,NA,NA
"199-K-117A__ITER1","199-K-117A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-K-117A__ITER2","199-K-117A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.00264276403647512","INTERP + EVENT","INTERP + EVENT",NA,"5","1","-0.796293573986106",NA,0.00264276403647512,NA,NA,NA,5,1,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",24.7126484120529,-0.233666453659016,0.000207989533968462,10.0588627281241,0.0844334106790895,5.21612033261946e-05,NA,NA
"199-K-118A__ITER1","199-K-118A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-K-119A__ITER1","199-K-119A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.492140460916595","INTERP + EVENT","INTERP + EVENT",NA,"10","21","-0.128862268169432",NA,0.492140460916595,NA,NA,NA,10,21,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-19.2127455750753,0.032553876085897,0.00122357995061018,21.5486451612277,0.130658458324964,0.0010141821035895,NA,NA
"199-K-119A__ITER2","199-K-119A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-K-120A__ITER1","199-K-120A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.0013844461753606","INTERP + EVENT","INTERP + EVENT",NA,"10","15","0.32581188677954",NA,0.0013844461753606,NA,NA,NA,10,15,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",21.9783826471636,0.0549312995913044,-0.0017639169138772,9.20733403849155,0.0538570278453377,0.000405902716812728,NA,NA
"199-K-120A__ITER2","199-K-120A",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","3.21964677141295e-14","INTERP + EVENT","INTERP + EVENT",NA,"204","15","0.156278498859698",NA,3.21964677141295e-14,NA,NA,NA,204,15,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",0.762776047992519,0.045425857741535,-0.0002991355326512,6.1793459624734,0.0505278428180103,3.79765403660486e-05,NA,NA
"199-K-125A__ITER1","199-K-125A",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.55469202663895","INTERP + EVENT","INTERP + EVENT",NA,"9","23","-0.260645039867669",NA,0.55469202663895,NA,NA,NA,9,23,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",18.171161682255,-0.0393226783994758,-0.000777643541697577,20.9748845469734,0.132057065845969,0.000701171724413661,NA,NA
